Pid,is_helpful,rating,Actual Response,Review Number,Cost per review,Time Taken,amazon_page,Review text,Rephrased Snippets,aspect,QA_Content,Accept,Processed_QA_Content,id,accept_choice1,accept1,annotator,annotation_id,created_at,updated_at,lead_time,Model_choice
b5486581-8cba-11ed-a7ba-930ee103a0a2,3,5,"""{'feature': 'finish durability of billiard-cue-sticks', 'actual_sentence_extracted': 'They are extremely high-quality grade wood and lacquer finish, they have absolutely fabulous tips on them and I would say they are second only to my McDermott pool cue that I paid $250 for about 30 years ago', 'rephrased_it(without experience & observation)': 'The user mentioned that the billiard-cue-sticks are of high-quality grade wood and lacquer finish, and they have fabulous tips on them. He also mentioned that they are second only to his McDermott pool cue that he paid $250 for about 30 years ago.', 'sentiment': 'positive'}""",2,0,3.300292015075684,https://amazon.com/dp/B091YH4CQH,"These are the best pool cues I have ever seen for the price.

They are extremely high-quality grade wood and lacquer finish, they have absolutely fabulous tips on them and I would say they are second only to my McDermott pool cue that I paid $250 for about 30 years ago","{'feature': 'finish durability of billiard-cue-sticks', 'actual_sentence_extracted': 'They are extremely high-quality grade wood and lacquer finish, they have absolutely fabulous tips on them and I would say they are second only to my McDermott pool cue that I paid $250 for about 30 years ago', 'rephrased_it(without experience & observation)': 'The user mentioned that the billiard-cue-sticks are of high-quality grade wood and lacquer finish, and they have fabulous tips on them. He also mentioned that they are second only to his McDermott pool cue that he paid $250 for about 30 years ago.', 'sentiment': 'positive'}",finish durability,"The user mentioned that the billiard-cue-sticks are of high-quality grade wood and lacquer finish, and they have fabulous tips on them. He also mentioned that they are second only to his McDermott pool cue that he paid $250 for about 30 years ago.",,The billiard-cue-sticks have fabulous tips and are made of high-quality grade wood with a lacquer finish. They are second only to my McDermott pool cue that I paid $250 for about 30 years ago.,459184,NO,"{""text"": [""The billiard-cue-sticks have fabulous tips and are made of high-quality grade wood with a lacquer finish. They are second only to my McDermott pool cue that I paid $250 for about 30 years ago."", ""The billiard-cue-sticks have fabulous tips and are made of high-quality grade wood with a lacquer finish. They are second only to my McDermott pool cue that I paid $250 for about 30 years ago.""]}",38,372456,2024-05-27T07:20:06.342006Z,2024-05-27T07:20:13.382308Z,5670.494,NO
cea1fdec-bc61-11ee-92e6-6d304ea26a0e,0,5,"""{'feature': 'weight distribution of billiard-cue-sticks', 'actual_sentence_extracted': 'Inside the main compartment, there are 8 very soft, padded sleeves and elastic strips for four cue shafts & butts.  There is a padded divider that protects the cue components from banging together when the main compartment is closed.', 'rephrased_it(without experience & observation)': 'The reviewer has mentioned that the main compartment of the bag has 8 very soft, padded sleeves and elastic strips for four cue shafts & butts. There is a padded divider that protects the cue components from banging together when the main compartment is closed. This shows that the weight distribution of the billiard-cue-sticks is well thought out and the bag has features that protect the cues from damage.', 'sentiment': 'positive'}""",1,0,4.023120164871216,https://amazon.com/dp/B0CPLCSVBW,"""Ok, a couple of things for full disclosure.  #1 I got this for free from Amazon Vine and #2 this is my first pool cue case.  My experience with bags/cases is as a golfer.  Ive been playing golf for a long time, so I have years of experience evaluating and buying golf bags.  Im also a guitar player and have many guitar gig bags.  I see numerous similarities in what you would want between a golf bag, gig bags, and a pool cue bag/case:"", 1.  Quality, 2.  Organization, 3.  Style, 4. Comfort, 5. Value, Upon removing this from the Amazon shipping box, I was totally impressed with the pool cue bag.  it looks great.  The zippers are high quality and the piping is stylish., FRONT OUTSIDE FEATURES:, On the front, there are two zippered pockets.  In the larger pocket, there are two pockets and elastic straps on the bag side that I assume might work for a jump cue.  On the lid side, there are two zippered mesh pockets you can use for various accessories.  In the smaller pocket, there is another mesh pocket and another solid zippered pocket., MAIN COMPARTMENT FEATURES:, Inside the main compartment, there are 8 very soft, padded sleeves and elastic strips for four cue shafts & butts.  There is a padded divider that protects the cue components from banging together when the main compartment is closed., BACK OF CASE AND CARRY STRAPS:, ""Im a guitar player and this is where this case reminds me of high-end guitar gig bags that cost hundreds of dollars.  There are FOUR ways to carry this bag:"", -Side carrying handle straps with a Velcro handle, -Carrying strap on the end, -Single shoulder strap, AND DRUM ROLL, PLEASE..., ""-Dual padded backpack straps that include a zippered compartment to hide the strap away when you dont want to carry it like a backpack.  I have expensive Mono and Reunion Blues guitar gig bags that have this feature, so I was very impressed to see that GOBUROS thought to include this in their feature set."", SUMMARY:, Yes, I was fortunate to get this via Amazon Vine, and yes it might be cool to have a prestigious case from Predator, Cuetec, etc., but I would buy this case.  There are quite a few cue bags/cases in this price range, but I would definitely consider this GOBUROS., PROS:, ""-Quality - Im really, really impressed with the quality and design of this bag."", -Cost-effective.  You can spend a lot of money on high-end, brand-name cue cases, but why?, -All or most of the features you might want., -Stylish - looks great, -Please of room for 4 cues and a lot of accessories, -Protective - This should keep your cues safe (unless the TSA gets their hands on it.  LOL), CONS:, -None really, -It does not have full-length sleeves like a Cuetec, ""-It might be more than you need if youre only going to transport one or two cues, but why not have enough space so you wont need to buy a bigger bag later?"", EDIT:, ""After I posted the review, I went to the GOBUROS store and realized why this bag is so good.  GOBUROS makes all kinds of bags/cases for various purposes, such as RC cars, baseball, golf, tactical gun range bags, etc.  Many of those have to carry much more weight than a pool cue bag/case.  It seems their expertise comes from first being a manufacturer of bags and then making a bag for pool/billiards purposes.  This bag is almost a little over-engineered based on the amount of weight it has to carry.  I really believe this bag will last for years, so its just a matter of determining if YOU like the features.""","{'feature': 'weight distribution of billiard-cue-sticks', 'actual_sentence_extracted': 'Inside the main compartment, there are 8 very soft, padded sleeves and elastic strips for four cue shafts & butts.  There is a padded divider that protects the cue components from banging together when the main compartment is closed.', 'rephrased_it(without experience & observation)': 'The reviewer has mentioned that the main compartment of the bag has 8 very soft, padded sleeves and elastic strips for four cue shafts & butts. There is a padded divider that protects the cue components from banging together when the main compartment is closed. This shows that the weight distribution of the billiard-cue-sticks is well thought out and the bag has features that protect the cues from damage.', 'sentiment': 'positive'}",weight distribution,"The reviewer has mentioned that the main compartment of the bag has 8 very soft, padded sleeves and elastic strips for four cue shafts & butts. There is a padded divider that protects the cue components from banging together when the main compartment is closed. This shows that the weight distribution of the billiard-cue-sticks is well thought out and the bag has features that protect the cues from damage.",,"The bag has 8 soft, padded sleeves and elastic strips for four cue shafts & butts in the main compartment. A padded divider protects the cue components from banging together when the compartment is closed, indicating that the weight distribution of the billiard-cue-sticks is well thought out and the bag has features to prevent damage to the cues.",459113,YES,"{""text"": [""The bag has 8 soft, padded sleeves and elastic strips for four cue shafts & butts in the main compartment. A padded divider protects the cue components from banging together when the compartment is closed."", ""The bag has 8 soft, padded sleeves and elastic strips for four cue shafts & butts in the main compartment. A padded divider protects the cue components from banging together when the compartment is closed, indicating that the weight distribution of the billiard-cue-sticks is well thought out and the bag has features to prevent damage to the cues.""]}",38,372348,2024-05-27T07:13:24.119044Z,2024-05-27T07:13:40.443145Z,5277.567,YES
0285945e-8cbb-11ed-a7ba-930ee103a0a2,0,4,"""{'feature': 'finish durability of billiard-cue-sticks', 'actual_sentence_extracted': 'The ONLY disappointing element: I ordered the high gloss blue, based on the pictures showing a deep, rich, almost intense electric blue, and mine came looking more on the teal side.', 'rephrased_it(without experience & observation)': 'The user mentioned that the cue did not match the color he had ordered based on the pictures. He expected a deep, rich, almost intense electric blue, but the cue he received looked more on the teal side.', 'sentiment': 'negative'}""",2,0,2.830567598342896,https://amazon.com/dp/B07K6BB8Y7,"""First impression, cue is estetically wonderful. High gloss ergonomic handle feels very comfortable. When gripped, it feels like your hand can actually part of the cue. I got the 21 Oz cue, and it is really a nice feel. The upper portion is natural wood, perfectly milled, no blemishes or nicks, cuts or scratches. The ONLY disappointing element: I ordered the high gloss blue, based on the pictures showing a deep, rich, almost intense electric blue, and mine came looking more on the teal side. If I wanted teal, I would have ordered a teal cue. I wanted blue, and expected a blue cue. Is that the worst issue? Can I overlook that one factor? Im not sure. Playing my first game on Saturday Aug 5. Ill update on play performance. Im considering returning it,, IF I can get the color I ordered. Well see. Other than that. Lets see how the first game goes. NOT THE END OF THE 🌍! Lets see how it plays.""","{'feature': 'finish durability of billiard-cue-sticks', 'actual_sentence_extracted': 'The ONLY disappointing element: I ordered the high gloss blue, based on the pictures showing a deep, rich, almost intense electric blue, and mine came looking more on the teal side.', 'rephrased_it(without experience & observation)': 'The user mentioned that the cue did not match the color he had ordered based on the pictures. He expected a deep, rich, almost intense electric blue, but the cue he received looked more on the teal side.', 'sentiment': 'negative'}",finish durability,"The user mentioned that the cue did not match the color he had ordered based on the pictures. He expected a deep, rich, almost intense electric blue, but the cue he received looked more on the teal side.",,"I expected a deep, rich, almost intense electric blue for the cue I ordered based on the pictures, but it looks more on the teal side.",459084,NO,"{""text"": [""I expected a deep, rich, almost intense electric blue for the cue I ordered based on the pictures, but it looks more on the teal side."", ""I expected a deep, rich, almost intense electric blue for the cue I ordered based on the pictures, but it looks more on the teal side.""]}",38,372310,2024-05-27T07:11:12.037050Z,2024-05-27T07:11:20.576176Z,5137.698,OTHER
b5486445-8cba-11ed-a7ba-930ee103a0a2,0,5,"""{'feature': 'weight distribution of billiard-cue-sticks', 'actual_sentence_extracted': 'Purchased for league play, shoot twice a week and this stick has not let me down.', 'rephrased_it(without experience & observation)': 'The user purchased the billiard-cue-stick for league play and shoots twice a week. The stick has not let him down.', 'sentiment': 'positive'}""",5,0,2.102261781692505,https://amazon.com/dp/B08HD6JH7W,"Pros:, Straight, Nice Tip, Smooth shooting, Graphics are amazing, Easy to use, Cons:, ""Connector is rather long so assembling and disassembling seems to take time.

Not a huge issue, definitely know its sturdy."", *Purchased for league play, shoot twice a week and this stick has not let me down.

Tons of compliments.

I Love It!!

, HIGHLY RECOMMEND","{'feature': 'weight distribution of billiard-cue-sticks', 'actual_sentence_extracted': 'Purchased for league play, shoot twice a week and this stick has not let me down.', 'rephrased_it(without experience & observation)': 'The user purchased the billiard-cue-stick for league play and shoots twice a week. The stick has not let him down.', 'sentiment': 'positive'}",weight distribution,The user purchased the billiard-cue-stick for league play and shoots twice a week. The stick has not let him down.,,I purchased the billiard-cue-stick for league play and shoot twice a week. The stick has not let me down.,459075,NO,"{""text"": [""I purchased the billiard-cue-stick for league play and shoot twice a week. The stick has not let me down."", ""I purchased the billiard-cue-stick for league play and shoot twice a week. The stick has not let me down.""]}",38,372295,2024-05-27T07:10:15.536672Z,2024-05-27T07:10:19.821741Z,5076.945,YES
03d902ba-bc5f-11ee-92e6-6d304ea26a0e,13,2,"""{'feature': 'weight distribution of billiard-cue-sticks', 'actual_sentence_extracted': 'Shaft had a texture feel, so, I polished it and gave it a super slick finish, now it feels and shoots like a $300.00+ cue', 'rephrased_it(without experience & observation)': 'The user mentioned that the shaft had a texture feel and he polished it to give it a super slick finish. Now it feels and shoots like a $300.00+ cue.', 'sentiment': 'positive'}""",4,0,2.617120742797852,https://amazon.com/dp/B08LNYGC43,"🎱"",   Definitely worth the $40.00,   ***UPDATE***,   Okay, I have played about 20+ games and the cue shoots great, and feels good, but shaft had a texture feel, so, I polished it and gave it a super slick finish, now it feels and shoots like a $300.00+

cue, with the layered tip it came with., .  

So, now it's December, hundreds of games later, and this now ""natural"" colored shaft at $40., as it shoots and feels, I give it 5⭐s, and is my favorite Cue.","{'feature': 'weight distribution of billiard-cue-sticks', 'actual_sentence_extracted': 'Shaft had a texture feel, so, I polished it and gave it a super slick finish, now it feels and shoots like a $300.00+ cue', 'rephrased_it(without experience & observation)': 'The user mentioned that the shaft had a texture feel and he polished it to give it a super slick finish. Now it feels and shoots like a $300.00+ cue.', 'sentiment': 'positive'}",weight distribution,The user mentioned that the shaft had a texture feel and he polished it to give it a super slick finish. Now it feels and shoots like a $300.00+ cue.,,"I polished the shaft to give it a super slick finish, which now gives it a texture feel and makes it shoot like a $300.00+ cue.",459029,NO,"{""text"": [""I polished the shaft to give it a super slick finish, which now gives it a texture feel and makes it shoot like a $300.00+ cue."", ""I polished the shaft to give it a super slick finish, which now gives it a texture feel and makes it shoot like a $300.00+ cue.""]}",38,372237,2024-05-27T07:05:42.552970Z,2024-05-27T07:05:48.198047Z,4805.311,YES
03d902ba-bc5f-11ee-92e6-6d304ea26a0e,13,2,"""{'feature': 'grip comfort of billiard-cue-sticks', 'actual_sentence_extracted': 'shaft had a texture feel, so, I polished it and gave it a super slick finish, now it feels and shoots like a $300.00+ cue', 'rephrased_it(without experience & observation)': 'The user mentioned that the shaft had a texture feel and he polished it and gave it a super slick finish. Now it feels and shoots like a $300.00+ cue.', 'sentiment': 'positive'}""",3,0,2.667312145233154,https://amazon.com/dp/B08LNYGC43,"""Hi, pool cue came in 3 days early, it appears as advertised, will see this evening. I bought it on a whim to see if the shaft would fit my McDermott it didnt🤨, but no worries, its straight, the tip shaped well, the shaft is stiffer than my 4 piece BK-3 Predator and the McDermott, and if it shoots well Ill use in my Tuesday tournament tonight.🎱"",   Definitely worth the $40.00,   ***UPDATE***,   Okay, I have played about 20+ games and the cue shoots great, and feels good, but shaft had a texture feel, so, I polished it and gave it a super slick finish, now it feels and shoots like a $300.00+ cue, with the layered tip it came with., .  So, now it's December, hundreds of games later, and this now ""natural"" colored shaft at $40., as it shoots and feels, I give it 5⭐s, and is my favorite Cue.","{'feature': 'grip comfort of billiard-cue-sticks', 'actual_sentence_extracted': 'shaft had a texture feel, so, I polished it and gave it a super slick finish, now it feels and shoots like a $300.00+ cue', 'rephrased_it(without experience & observation)': 'The user mentioned that the shaft had a texture feel and he polished it and gave it a super slick finish. Now it feels and shoots like a $300.00+ cue.', 'sentiment': 'positive'}",grip comfort,The user mentioned that the shaft had a texture feel and he polished it and gave it a super slick finish. Now it feels and shoots like a $300.00+ cue.,,"I polished the shaft and gave it a super slick finish, which resulted in a texture feel and improved shooting performance comparable to a $300.00+ cue.",459022,NO,"{""text"": [""I polished the shaft and gave it a super slick finish, which resulted in a texture feel and improved shooting performance comparable to a $300.00+ cue."", ""I polished the shaft and gave it a super slick finish, which resulted in a texture feel and improved shooting performance comparable to a $300.00+ cue.""]}",38,372227,2024-05-27T07:05:01.949083Z,2024-05-27T07:05:07.517913Z,4764.638,YES
03d902ba-bc5f-11ee-92e6-6d304ea26a0e,3,1,"""{'feature': 'finish durability of billiard-cue-sticks', 'actual_sentence_extracted': 'On top of that, when hitting balls, the end of the stick would shoot out and we sometimes wouldn’t notice until a few mins later and one of the times the stick was lightly dropped on the end where the rubber was supposed to be (like you do when playing pool) and this caused the bottom of the stick to crack.', 'rephrased_it(without experience & observation)': 'The user mentioned that the stick was warped and the end of the stick would shoot out when hitting balls. He also mentioned that the stick was lightly dropped on the end where the rubber was supposed to be and this caused the bottom of the stick to crack.', 'sentiment': 'negative'}""",5,0,3.668029546737671,https://amazon.com/dp/B08LNYGC43,", Unboxed it, screwed it together and rolled it across the table and it was clearly warped.

I’ve played with better sticks at dive bars.

On top of that, when hitting balls, the end of the stick would shoot out and we sometimes wouldn’t notice until a few mins later and one of the times the stick was lightly dropped on the end where the rubber was supposed to be (like you do when playing pool) and this caused the bottom of the stick to crack.","{'feature': 'finish durability of billiard-cue-sticks', 'actual_sentence_extracted': 'On top of that, when hitting balls, the end of the stick would shoot out and we sometimes wouldn’t notice until a few mins later and one of the times the stick was lightly dropped on the end where the rubber was supposed to be (like you do when playing pool) and this caused the bottom of the stick to crack.', 'rephrased_it(without experience & observation)': 'The user mentioned that the stick was warped and the end of the stick would shoot out when hitting balls. He also mentioned that the stick was lightly dropped on the end where the rubber was supposed to be and this caused the bottom of the stick to crack.', 'sentiment': 'negative'}",finish durability,The user mentioned that the stick was warped and the end of the stick would shoot out when hitting balls. He also mentioned that the stick was lightly dropped on the end where the rubber was supposed to be and this caused the bottom of the stick to crack.,,"I noticed that the stick was warped and the end of the stick would shoot out when hitting balls. Additionally, I said that the stick was lightly dropped on the end where the rubber was supposed to be and this caused the bottom of the stick to crack.


The stick was warped and the end would shoot out when hitting balls. It was lightly dropped on the end where the rubber was supposed to be, causing the bottom to crack.",459018,YES,"{""text"": [""I noticed that the stick was warped and the end of the stick would shoot out when hitting balls. Additionally, I said that the stick was lightly dropped on the end where the rubber was supposed to be and this caused the bottom of the stick to crack."", ""I noticed that the stick was warped and the end of the stick would shoot out when hitting balls. Additionally, I said that the stick was lightly dropped on the end where the rubber was supposed to be and this caused the bottom of the stick to crack.\n\n\nThe stick was warped and the end would shoot out when hitting balls. It was lightly dropped on the end where the rubber was supposed to be, causing the bottom to crack.""]}",38,372214,2024-05-27T07:04:14.482142Z,2024-05-27T07:04:33.643852Z,4730.746,YES
3ad0d976-8cba-11ed-a7ba-930ee103a0a2,5,5,"""{'feature': 'grip comfort of billiard-cue-sticks', 'actual_sentence_extracted': 'It was just loose enough to cause a vibration when striking the butt against the floor.', 'rephrased_it(without experience & observation)': 'The user mentioned that the grip was loose enough to cause a vibration when striking the butt against the floor.', 'sentiment': 'negative'}""",4,0,2.014486074447632,https://amazon.com/dp/B00EAIF6SY,"It was just loose enough to cause a vibration when striking the butt against the floor.

I tightened the bolt and eliminated the vibration.

Tonight I will test it in league play and see if that makes a difference.

, Progear responded to me in a timely manner and worked with me to resolve the issue.

I will certainly use them in the future.","{'feature': 'grip comfort of billiard-cue-sticks', 'actual_sentence_extracted': 'It was just loose enough to cause a vibration when striking the butt against the floor.', 'rephrased_it(without experience & observation)': 'The user mentioned that the grip was loose enough to cause a vibration when striking the butt against the floor.', 'sentiment': 'negative'}",grip comfort,The user mentioned that the grip was loose enough to cause a vibration when striking the butt against the floor.,,"When striking the butt against the floor, I noticed that the grip was loose enough to cause a vibration. 
Rephrased: The grip causes vibration when striking the butt against the floor.",459002,YES,"{""text"": [""When striking the butt against the floor, I noticed that the grip was loose enough to cause a vibration. "", ""When striking the butt against the floor, I noticed that the grip was loose enough to cause a vibration. \nRephrased: The grip causes vibration when striking the butt against the floor.""]}",38,372186,2024-05-27T07:02:57.036647Z,2024-05-27T07:03:05.588724Z,4642.709,YES
b54863ba-8cba-11ed-a7ba-930ee103a0a2,0,1,"""{'feature': 'finish durability of billiard-cue-sticks', 'actual_sentence_extracted': 'First thing I did was put the pieces together and rolled it on the table.... wow did they wobble.', 'rephrased_it(without experience & observation)': 'The user mentioned that the cue stick wobbled after putting the pieces together and rolling it on the table.', 'sentiment': 'negative'}""",3,0,2.035978078842163,https://amazon.com/dp/B08CN82G99,"""I play pool actively.

Not professionally.

I personally like my sticks straight.

First thing I did was put the pieces together and rolled it on the table....

wow did they wobble.

I couldnt return these because husband got anxious and started shaping the tip.

"", I would say you pay for what you get.

Honestly should be cheaper.","{'feature': 'finish durability of billiard-cue-sticks', 'actual_sentence_extracted': 'First thing I did was put the pieces together and rolled it on the table.... wow did they wobble.', 'rephrased_it(without experience & observation)': 'The user mentioned that the cue stick wobbled after putting the pieces together and rolling it on the table.', 'sentiment': 'negative'}",finish durability,The user mentioned that the cue stick wobbled after putting the pieces together and rolling it on the table.,,"After putting the pieces together and rolling it on the table, I noticed that the cue stick wobbled. 
Rephrased: The cue stick wobbled after assembly and rolling on the table.",458979,YES,"{""text"": [""After putting the pieces together and rolling it on the table, I noticed that the cue stick wobbled."", ""After putting the pieces together and rolling it on the table, I noticed that the cue stick wobbled. \nRephrased: The cue stick wobbled after assembly and rolling on the table.""]}",38,372141,2024-05-27T07:00:54.217264Z,2024-05-27T07:01:02.001338Z,4519.112,YES
b54863b8-8cba-11ed-a7ba-930ee103a0a2,0,5,"""{'feature': 'weight distribution of billiard-cue-sticks', 'actual_sentence_extracted': 'When it comes to hitting balls, these pool cues do just that without scratching the top of the balls.', 'rephrased_it(without experience & observation)': 'The user mentioned that the pool cues are able to hit the balls without scratching them.', 'sentiment': 'positive'}""",6,0,1.922873020172119,https://amazon.com/dp/B08183YH7Q,"These pool cues are great for any player, whether beginner or expert.

The pool cues are perfectly aligned and show no defects, bends, chips, cracks or anything like that.

When it comes to hitting balls, these pool cues do just that without scratching the top of the balls.

I recently had a party and my pool table was definitely being used and these pool cues still look great after all the use theyve received.""","{'feature': 'weight distribution of billiard-cue-sticks', 'actual_sentence_extracted': 'When it comes to hitting balls, these pool cues do just that without scratching the top of the balls.', 'rephrased_it(without experience & observation)': 'The user mentioned that the pool cues are able to hit the balls without scratching them.', 'sentiment': 'positive'}",weight distribution,The user mentioned that the pool cues are able to hit the balls without scratching them.,,I can hit the balls with the pool cues without scratching them.,458972,Other,"{""text"": [""I can hit the balls with the pool cues without scratching them."", ""I can hit the balls with the pool cues without scratching them.""]}",38,372132,2024-05-27T07:00:18.133850Z,2024-05-27T07:00:21.595288Z,4478.722,YES
