Pid,is_helpful,rating,Actual Response,Review Number,Cost per review,Time Taken,amazon_page,Review text,Rephrased Snippets,aspect,QA_Content,Accept,Processed_QA_Content,id,accept_choice1,accept1,annotator,annotation_id,created_at,updated_at,lead_time,Model_choice,compare
9d303f60-8cba-11ed-a7ba-930ee103a0a2,4,5,"""{'feature': 'insulation of bento-boxes', 'actual_sentence_extracted': 'Then, after they cool down, I sow the seeds and spray with water and these trays dont let the water evaporate, retaining the moisture that can be seen in form.of a film of water clouding the transparent lid', 'rephrased_it(without experience & observation)':'The user mentioned that the trays are well insulated and retain the moisture after spraying water on the seeds, which helps in maintaining the perfect sowing conditions.', 'sentiment':'positive'}""",2,0,2.871221542358398,https://amazon.com/dp/B08MPRB9YY,"  These are awesomely well made trays., I use them for planting seedlings using the so called ""takeaway tek""., They are made of PP (polipropilene)  plastic, that does not melt in the microwave or fall apart exposed to air and sun like PS (polistirene) plastic does., They are also sealed, meaning nothing escapes from them., In fact I microwave the container full of soil for 4 minutes and it gets really hot inside., ""Then, after they cool down, I sow the seeds and spray with water and these trays dont let the water evaporate, retaining the moisture that can be seen in form.of a film of water clouding the transparent lid."", Their lids are also domed that is very important when sowing seeds in takeaway containers because they trap more air and aqueous vapor thus facilitating the perfect sowing conditions., I should alsoention than 6 of them fit perfectly a 1020 tray., ""Thats a great bonus, Imagine what you can do with your seedlings so well organized!"", I am very satisfied with these containers.","{'feature': 'insulation of bento-boxes', 'actual_sentence_extracted': 'Then, after they cool down, I sow the seeds and spray with water and these trays dont let the water evaporate, retaining the moisture that can be seen in form.of a film of water clouding the transparent lid', 'rephrased_it(without experience & observation)': 'The user mentioned that the trays are well insulated and retain the moisture after spraying water on the seeds, which helps in maintaining the perfect sowing conditions.', 'sentiment': 'positive'}",insulation,"The user mentioned that the trays are well insulated and retain the moisture after spraying water on the seeds, which helps in maintaining the perfect sowing conditions.",,"The trays are well insulated and retain moisture after spraying water on the seeds, helping to maintain perfect sowing conditions.",527324,NO,"{""text"": [""The trays are well insulated and retain moisture after spraying water on the seeds, helping to maintain perfect sowing conditions."", ""The trays are well insulated and retain moisture after spraying water on the seeds, helping to maintain perfect sowing conditions.""]}",30,443333,2024-06-17T07:03:51.915972Z,2024-06-17T07:03:58.285580Z,1463.73,OTHER,different
cf9011b7-8cba-11ed-a7ba-930ee103a0a2,0,2,"{""feature"":""compartment of bento-boxes"", ""actual_sentence_extracted"":""I was excited about the 5 compartments and honestly I loved the tray configuration but during the first week back at school, two of the lids broke!"", ""rephrased_it(without experience & observation)"":""The user was initially excited about the 5 compartments and loved the tray configuration. However, during the first week of school, two of the lids broke, which was disappointing."", ""sentiment"":""negative""}",2,0,2.438693046569824,https://amazon.com/dp/B097CLX3TB,"I am so disappointed in this set of lunchboxes from this brand.

3 years ago I bought the 3 compartment version of this and used it for my two kids every day at school during that time.

Finally they started to wear out so I ordered another set.

I was excited about the 5 compartments and honestly I loved the tray configuration but during the first week back at school, two of the lids broke!

The little “tab” that you grip to pull the lid off popped right off!","{'feature': 'compartment of bento-boxes', 'actual_sentence_extracted': 'I was excited about the 5 compartments and honestly I loved the tray configuration but during the first week back at school, two of the lids broke!', 'rephrased_it(without experience & observation)': 'The user was initially excited about the 5 compartments and loved the tray configuration. However, during the first week of school, two of the lids broke, which was disappointing.', 'sentiment': 'negative'}",compartments,"The user was initially excited about the 5 compartments and loved the tray configuration. However, during the first week of school, two of the lids broke, which was disappointing.",,"I was initially excited about the 5 compartments and loved the tray configuration. However, during the first week of school, two of the lids broke, which was disappointing.",527258,Other,"{""text"": [""I was initially excited about the 5 compartments and loved the tray configuration. However, during the first week of school, two of the lids broke, which was disappointing."", ""I was initially excited about the 5 compartments and loved the tray configuration. However, during the first week of school, two of the lids broke, which was disappointing.""]}",30,443221,2024-06-17T07:00:22.244472Z,2024-06-17T07:00:26.148002Z,1251.627,YES,different
cf9011b7-8cba-11ed-a7ba-930ee103a0a2,2,3,"{""feature"":""build quality of bento-boxes"", ""actual_sentence_extracted"":""They look and feel fairly sturdy; however, the kids don’t close on completely tight so there’s some give if you push up and down on the lid."", ""rephrased_it(without experience & observation)"":""The user mentioned that the bento-boxes look and feel fairly sturdy, but the kids don’t close on completely tight, which means there is some give if you push up and down on the lid."", ""sentiment"":""neutral""}",5,0,2.594797372817993,https://amazon.com/dp/B097CLX3TB,"These are great for snacks in the go with kids and having options available.

, They look and feel fairly sturdy; however, the kids don’t close on completely tight

so there’s some give if you push up and down on the lid.

, I have only ever hand washed them and after about a months time, 2 of the 4 have a crack in them.

We still use them, but I’ll probably end up purchasing something else comparable to the 4 square container for snacks and maybe in a different brand for reliability.","{'feature': 'build quality of bento-boxes', 'actual_sentence_extracted': 'They look and feel fairly sturdy; however, the kids don’t close on completely tight so there’s some give if you push up and down on the lid.', 'rephrased_it(without experience & observation)': 'The user mentioned that the bento-boxes look and feel fairly sturdy, but the kids don’t close on completely tight, which means there is some give if you push up and down on the lid.', 'sentiment': 'neutral'}",build quality,"The user mentioned that the bento-boxes look and feel fairly sturdy, but the kids don’t close on completely tight, which means there is some give if you push up and down on the lid.",,"The bento-boxes feel fairly sturdy, but they don't close completely tight, which means there is some give if I push up and down on the lid.",527255,NO,"{""text"": [""The bento-boxes feel fairly sturdy, but they don't close completely tight, which means there is some give if I push up and down on the lid."", ""The bento-boxes feel fairly sturdy, but they don't close completely tight, which means there is some give if I push up and down on the lid.""]}",30,443044,2024-06-17T06:51:42.314005Z,2024-06-17T06:51:52.795616Z,738.25,NO,same
0292d441-8cbb-11ed-a7ba-930ee103a0a2,0,5,"""{'feature': 'design of bento-boxes', 'actual_sentence_extracted': 'Ive had othets and the divided sections for food are usually to small for a decent portion size. This one doesnt leak and has Tight closing latches that snap shut . It has a big capacity and 3 divided sections . The big section holds  3 cups  od food and the 2 smaller sections hold 1.5 cups each', 'rephrased_it(without experience & observation)': 'The user has mentioned that he has used other bento lunch boxes and the divided sections for food are usually too small for a decent portion size. He also mentioned that this bento lunch box has a big capacity and 3 divided sections. The big section holds 3 cups of food and the 2 smaller sections hold 1.5 cups each.', 'sentiment': 'positive'}""",2,0,4.321692705154419,https://amazon.com/dp/B0B7BBBRCF,"Video Player is loading., Play Video, Play, Mute, Current Time'xa0, 0:00, /, Duration'xa0, 0:00, Loaded, : , 0%, Stream Type'xa0, Seek to live, currently behind live, LIVE, Remaining Time'xa0, -, 0:00, Playback Rate, Chapters, Descriptions, descriptions off, , selected, Captions, Captions off, , selected, Audio Track, Fullscreen, 'xa0I take my lunch to work every day and I love having this bento lunch box.  Ive had othets and the divided sections for food are usually to small for a decent portion size. This one doesnt leak and has Tight closing latches that snap shut . It has a big capacity and 3 divided sections . The big section holds  3 cups  od food and the 2 smaller sections hold 1.5 cups each., There is even a built in place in the lid for the included fork, spoon and knife. The lunch box is even microwave, freezer and dishwasher safe making cleanup quick and easy. Love it !","{'feature': 'design of bento-boxes', 'actual_sentence_extracted': 'Ive had othets and the divided sections for food are usually to small for a decent portion size. This one doesnt leak and has Tight closing latches that snap shut . It has a big capacity and 3 divided sections . The big section holds  3 cups  od food and the 2 smaller sections hold 1.5 cups each', 'rephrased_it(without experience & observation)': 'The user has mentioned that he has used other bento lunch boxes and the divided sections for food are usually too small for a decent portion size. He also mentioned that this bento lunch box has a big capacity and 3 divided sections. The big section holds 3 cups of food and the 2 smaller sections hold 1.5 cups each.', 'sentiment': 'positive'}",design,The user has mentioned that he has used other bento lunch boxes and the divided sections for food are usually too small for a decent portion size. He also mentioned that this bento lunch box has a big capacity and 3 divided sections. The big section holds 3 cups of food and the 2 smaller sections hold 1.5 cups each.,,"I have used other bento lunch boxes before and found that the divided sections for food are usually too small for a decent portion size. However, this bento lunch box has a big capacity and 3 divided sections. The big section holds 3 cups of food and the 2 smaller sections hold 1.5 cups each.",527198,NO,"{""text"": [""I have used other bento lunch boxes before and found that the divided sections for food are usually too small for a decent portion size. However, this bento lunch box has a big capacity and 3 divided sections. The big section holds 3 cups of food and the 2 smaller sections hold 1.5 cups each."", ""I have used other bento lunch boxes before and found that the divided sections for food are usually too small for a decent portion size. However, this bento lunch box has a big capacity and 3 divided sections. The big section holds 3 cups of food and the 2 smaller sections hold 1.5 cups each.""]}",30,442855,2024-06-17T06:41:35.268314Z,2024-06-17T06:42:29.540458Z,175.093,YES,different
3ad0d949-8cba-11ed-a7ba-930ee103a0a2,20,5,"""{'feature': 'design of bento-boxes', 'actual_sentence_extracted': '* The little design details — the notch on the divider that lets you know which way is the top, the side notices for the layers stacking together, the lids of the little containers, the logo, the corners that hint at which sides to pull up to remove the layer lids', 'rephrased_it(without experience & observation)':'The user has mentioned that the bento-box has some beautiful design details like the notch on the divider, side notices for the layers stacking together, lids of the little containers, logo, and corners that hint at which sides to pull up to remove the layer lids.', 'sentiment':'positive'}""",1,0,3.571985483169556,https://amazon.com/dp/B0848VKNN4,"                    The media could not be loaded.                , 'xa0Pros:, * It’s beautiful!, * Slim profile, * Customization: adjustable dividers allow me to divide up my food in different ways each time. The top layer can be used on its own without the bottom layer if I don’t need a lot., * Microwave and dishwasher safe, * Leakproof layers, * The utensils were smooth and nice! I didn’t expect to like them but they’re probably one of my favorite parts of this set! Size-wise, they’re also kid-friendly., * The little design details — the notch on the divider that lets you know which way is the top, the side notices for the layers stacking together, the lids of the little containers, the logo, the corners that hint at which sides to pull up to remove the layer lids, Could improve:, * I wish the bottom layer snapped into the top layer the way the cover snaps over the top layer so I can pick it up without the elastic band, * I love the subtle design hints but for the first time use, it took a few tries to notice/figure out since I was so excited that I took it apart without paying attention to how it would be reassembled back together first","{'feature': 'design of bento-boxes', 'actual_sentence_extracted': '* The little design details — the notch on the divider that lets you know which way is the top, the side notices for the layers stacking together, the lids of the little containers, the logo, the corners that hint at which sides to pull up to remove the layer lids', 'rephrased_it(without experience & observation)': 'The user has mentioned that the bento-box has some beautiful design details like the notch on the divider, side notices for the layers stacking together, lids of the little containers, logo, and corners that hint at which sides to pull up to remove the layer lids.', 'sentiment': 'positive'}",design,"The user has mentioned that the bento-box has some beautiful design details like the notch on the divider, side notices for the layers stacking together, lids of the little containers, logo, and corners that hint at which sides to pull up to remove the layer lids.",,"The bento-box has beautiful design details such as a notch on the divider, side notices for layer stacking, lids of the containers, logo, and corners indicating which sides to pull up for removing the layer lids.",527227,NO,"{""text"": [""The bento-box has beautiful design details such as a notch on the divider, side notices for layer stacking, lids of the containers, logo, and corners indicating which sides to pull up for removing the layer lids."", ""The bento-box has beautiful design details such as a notch on the divider, side notices for layer stacking, lids of the containers, logo, and corners indicating which sides to pull up for removing the layer lids.""]}",30,442704,2024-06-17T06:31:57.078623Z,2024-06-17T06:32:03.144094Z,351387.184,YES,different
02925f54-8cbb-11ed-a7ba-930ee103a0a2,7,4,"{""feature"":""microwave safe of bento-boxes"", ""actual_sentence_extracted"":""so it leaks a little bit but not enough to make a huge mess and if you shake it of course it leaks a bit more but not to the point where you just gotta throw it in the trash, so it does work."", ""rephrased_it(without experience & observation)"":""The user mentioned that the bento box leaks a little bit when used in the microwave, but it is not enough to make a huge mess. It still works fine."", ""sentiment"":""positive""}",8,0,2.760791301727295,https://amazon.com/dp/B0B1DHX2C3,"so it leaks a little bit but not enough to make a huge mess and if you shake it of course it leaks a bit more but not to the point where you just gotta throw it in the trash, so it does work.

I would say on the days you pack anything soupy/saucy to just be careful.

Overall, Im happy to use it.""","{'feature': 'microwave safe of bento-boxes', 'actual_sentence_extracted': 'so it leaks a little bit but not enough to make a huge mess and if you shake it of course it leaks a bit more but not to the point where you just gotta throw it in the trash, so it does work.', 'rephrased_it(without experience & observation)': 'The user mentioned that the bento box leaks a little bit when used in the microwave, but it is not enough to make a huge mess. It still works fine.', 'sentiment': 'positive'}",microwave safe,"The user mentioned that the bento box leaks a little bit when used in the microwave, but it is not enough to make a huge mess. It still works fine.",,"When I use the bento box in the microwave, it leaks a little bit but it's not a big mess and still works fine.",527086,YES,"{""text"": [""When I use the bento box in the microwave, it leaks a little bit but it's not a big mess and still works fine."", ""When I use the bento box in the microwave, it leaks a little bit but it's not a big mess and still works fine.""]}",30,441423,2024-06-17T05:24:21.811925Z,2024-06-17T05:24:24.746083Z,347328.541,YES,same
3ad0d950-8cba-11ed-a7ba-930ee103a0a2,0,5,"{""feature"":""portability of bento-boxes"", ""actual_sentence_extracted"":""The assembled container occupies very little space in kids backpack, which is unbelievable convenient bc I still have enough room for a water bottle and a blanket there."", ""rephrased_it(without experience & observation)"":""The user mentioned that the assembled container is very compact and occupies very little space in the kid's backpack, which is very convenient as they can still fit a water bottle and a blanket. This shows the positive sentiment towards the portability of the bento-box."", ""sentiment"":""positive""}",5,0,2.774129390716553,https://amazon.com/dp/B08BHR9S45,"I bought this to pack my 20 month old  son’s school lunches.

, The sizing of containers would be too moderate for an adult

but it is great for a, Kid.

I easily put there his breakfast, lunch and fruit.

Never had any problems with leakages.

, The assembled container occupies very little space in kids backpack, which is unbelievable convenient bc I still have enough room for a water bottle and a blanket there.

, I love this piece and always recommend it to mama-friends.","{'feature': 'portability of bento-boxes', 'actual_sentence_extracted': 'The assembled container occupies very little space in kids backpack, which is unbelievable convenient bc I still have enough room for a water bottle and a blanket there.', 'rephrased_it(without experience & observation)': ""The user mentioned that the assembled container is very compact and occupies very little space in the kid's backpack, which is very convenient as they can still fit a water bottle and a blanket. This shows the positive sentiment towards the portability of the bento-box."", 'sentiment': 'positive'}",portability,"The user mentioned that the assembled container is very compact and occupies very little space in the kid's backpack, which is very convenient as they can still fit a water bottle and a blanket. This shows the positive sentiment towards the portability of the bento-box.",,"The assembled container is very compact and occupies very little space in my kid's backpack, which is very convenient as I can still fit a water bottle and a blanket. This shows my positive sentiment towards the portability of the bento-box.",527027,YES,"{""text"": [""The assembled container is very compact and occupies very little space in my kid's backpack, which is very convenient as I can still fit a water bottle and a blanket. "", ""The assembled container is very compact and occupies very little space in my kid's backpack, which is very convenient as I can still fit a water bottle and a blanket. This shows my positive sentiment towards the portability of the bento-box.""]}",30,441168,2024-06-17T05:13:35.655870Z,2024-06-17T05:13:48.917255Z,346691.053,YES,same
3ad0d950-8cba-11ed-a7ba-930ee103a0a2,0,5,"{""feature"":""ease of cleaning of bento-boxes"", ""actual_sentence_extracted"":""The design is really ingenious; it is leakproof, self- locking, and easy to clean."", ""rephrased_it(without experience & observation)"":""The user mentioned that the bento box is easy to clean and has a leakproof and self-locking design."", ""sentiment"":""positive""}",2,0,1.978274822235107,https://amazon.com/dp/B08BHR9S45,"I liked this Iteryn bento 3-in-one lunch box very much.

The design is really ingenious; it is leakproof, self- locking, and easy to clean.

I also love the utensils that come in their own compartment, that can be used as an extra “dish”.

In this time of the pandemic I find myself taking lunches outside in a park.

This bento lunch box is the perfect solution that makes it so convenient to pack lunch and eat in a safe environment.","{'feature': 'ease of cleaning of bento-boxes', 'actual_sentence_extracted': 'The design is really ingenious; it is leakproof, self- locking, and easy to clean.', 'rephrased_it(without experience & observation)': 'The user mentioned that the bento box is easy to clean and has a leakproof and self-locking design.', 'sentiment': 'positive'}",ease of cleaning,The user mentioned that the bento box is easy to clean and has a leakproof and self-locking design.,,The bento box has a leakproof and self-locking design and is easy to clean.,527002,NO,"{""text"": [""The bento box has a leakproof and self-locking design and is easy to clean."", ""The bento box has a leakproof and self-locking design and is easy to clean.""]}",30,441069,2024-06-17T05:09:49.939258Z,2024-06-17T05:09:54.492880Z,346458.272,YES,different
cf907785-8cba-11ed-a7ba-930ee103a0a2,0,1,"""{'feature': 'build quality of bento-boxes', 'actual_sentence_extracted': 'The box adequately keeps food separated and can maintain temperature but it leaked from the time we bought it and has now developed mold around the edges after about 2 months of use even with daily cleaning.', 'rephrased_it(without experience & observation)': 'The user mentioned that the box leaked from the time they bought it and has now developed mold around the edges after about 2 months of use even with daily cleaning.', 'sentiment': 'negative'}""",6,0,2.687536478042603,https://amazon.com/dp/B017SGKZUI,"The box adequately keeps food separated and can maintain temperature but it leaked from the time we bought it and has now developed mold around the edges after about 2 months of use even with daily cleaning.

Given the cost this box seems to be of poor quality.

I wish we could return it but it is well outside Amazon’s return window.

If your looking for a good lunch box I would skip this one.","{'feature': 'build quality of bento-boxes', 'actual_sentence_extracted': 'The box adequately keeps food separated and can maintain temperature but it leaked from the time we bought it and has now developed mold around the edges after about 2 months of use even with daily cleaning.', 'rephrased_it(without experience & observation)': 'The user mentioned that the box leaked from the time they bought it and has now developed mold around the edges after about 2 months of use even with daily cleaning.', 'sentiment': 'negative'}",build quality,The user mentioned that the box leaked from the time they bought it and has now developed mold around the edges after about 2 months of use even with daily cleaning.,,"The box has been leaking since I bought it and now has mold around the edges, despite daily cleaning for the past 2 months.",526959,Other,"{""text"": [""The box has been leaking since I bought it and now has mold around the edges, despite daily cleaning for the past 2 months."", ""The box has been leaking since I bought it and now has mold around the edges, despite daily cleaning for the past 2 months.""]}",30,440884,2024-06-17T05:00:49.522444Z,2024-06-17T05:00:54.037082Z,345917.563,YES,different
cf9077d0-8cba-11ed-a7ba-930ee103a0a2,0,5,"{""feature"":""ease of cleaning of bento-boxes"", ""actual_sentence_extracted"":""The lids are actually secure to completely close off each section if that makes sense (instead of it being one flat lid that allows each thing in the compartments to roam free if shaken) so nothing flops around or spills."", ""rephrased_it(without experience & observation)"":""The user mentioned that the lids are secure and close off each section, which prevents any flopping or spilling. This makes cleaning the bento-boxes easy and convenient."", ""sentiment"":""positive""}",8,0,2.742069959640503,https://amazon.com/dp/B08L914X77,"Honestly they were in better quality than I anticipated!

Worth the money!

I started making my son his own “lunchables” and these were absolutely perfect!

The plastic is super thick/sturdy, the lids are actually secure to completely close off each section if that makes sense (instead of it being one flat lid that allows each thing in the compartments to roam free if shaken) so nothing flops around or spills.

I 10/10 recommend!","{'feature': 'ease of cleaning of bento-boxes', 'actual_sentence_extracted': 'The lids are actually secure to completely close off each section if that makes sense (instead of it being one flat lid that allows each thing in the compartments to roam free if shaken) so nothing flops around or spills.', 'rephrased_it(without experience & observation)': 'The user mentioned that the lids are secure and close off each section, which prevents any flopping or spilling. This makes cleaning the bento-boxes easy and convenient.', 'sentiment': 'positive'}",ease of cleaning,"The user mentioned that the lids are secure and close off each section, which prevents any flopping or spilling. This makes cleaning the bento-boxes easy and convenient.",,"The lids are secure and close off each section, preventing any flopping or spilling, making cleaning the bento-boxes easy and convenient.",526917,YES,"{""text"": [""The lids are secure and close off each section, preventing any flopping or spilling, making cleaning the bento-boxes easy and convenient."", ""The lids are secure and close off each section, preventing any flopping or spilling, making cleaning the bento-boxes easy and convenient.""]}",30,432480,2024-06-13T10:42:12.937737Z,2024-06-13T10:42:18.965868Z,20802.892,YES,same
