Pid,is_helpful,rating,Actual Response,Review Number,Cost per review,Time Taken,amazon_page,Review text,Rephrased Snippets,aspect,QA_Content,Accept,Processed_QA_Content,id,accept_choice1,accept1,annotator,annotation_id,created_at,updated_at,lead_time,Model_choice,compare
0293a9d9-8cbb-11ed-a7ba-930ee103a0a2,0,5,"{""feature"":""portability of project-folders"", ""actual_sentence_extracted"":""Bye paper folder… hello two organized, reusable file notebooks!"", ""rephrased_it(without experience & observation)"":""The user mentioned that he is saying goodbye to paper folders and hello to organized, reusable file notebooks."", ""sentiment"":""positive""}",3,0,1.706521511077881,https://amazon.com/dp/B09GYLSL5K,"I now have 2 of them and I love them!

Working from home, I wanted to reduce any office waste I can and be more organized.

They are also eco friendly in the sense that I am not having to replace my old paper file folders every few months from wear and tear.

Bye paper folder… hello two organized, reusable file notebooks!","{'feature': 'portability of project-folders', 'actual_sentence_extracted': 'Bye paper folder… hello two organized, reusable file notebooks!', 'rephrased_it(without experience & observation)': 'The user mentioned that he is saying goodbye to paper folders and hello to organized, reusable file notebooks.', 'sentiment': 'positive'}",portability,"The user mentioned that he is saying goodbye to paper folders and hello to organized, reusable file notebooks.",,"I am saying goodbye to paper folders and hello to organized, reusable file notebooks.",490605,Other,"{""text"": [""I am saying goodbye to paper folders and hello to organized, reusable file notebooks."", ""I am saying goodbye to paper folders and hello to organized, reusable file notebooks.""]}",30,400709,2024-06-05T09:49:06.658726Z,2024-06-05T09:49:11.630782Z,63969.971,NO,different
0293a9ce-8cbb-11ed-a7ba-930ee103a0a2,0,5,"{""feature"":""capacity of project-folders"", ""actual_sentence_extracted"":""This was the PERFECT solution. I have everything organized by category with the daily schedule on the front cover."", ""rephrased_it(without experience & observation)"":""The user mentioned that the product was perfect for organizing everything by category with the daily schedule on the front cover."", ""sentiment"":""positive""}",1,0,1.91666054725647,https://amazon.com/dp/B08VJ3C37Z,"I’m a gymnastics coach and was struggling to keep my athletes’ schedule, assignments, injury lists, dr notes, etc. organized.

They are all things I want to have on hand in the gym, but regular folders and binders weren’t cutting it.

This was the PERFECT solution.

I have everything organized by category with the daily schedule on the front cover.

It’s been very durable and helpful.","{'feature': 'capacity of project-folders', 'actual_sentence_extracted': 'This was the PERFECT solution. I have everything organized by category with the daily schedule on the front cover.', 'rephrased_it(without experience & observation)': 'The user mentioned that the product was perfect for organizing everything by category with the daily schedule on the front cover.', 'sentiment': 'positive'}",capacity,The user mentioned that the product was perfect for organizing everything by category with the daily schedule on the front cover.,,The product is perfect for organizing everything by category with the daily schedule on the front cover.,490540,Other,"{""text"": [""The product is perfect for organizing everything by category with the daily schedule on the front cover."", ""The product is perfect for organizing everything by category with the daily schedule on the front cover.""]}",30,400481,2024-06-05T09:07:22.251526Z,2024-06-05T09:07:31.418474Z,61469.784,NO,different
0293a9e0-8cbb-11ed-a7ba-930ee103a0a2,3,5,"{""feature"":""durability of project-folders"", ""actual_sentence_extracted"":""I dont recommend overstuffing it with loose leaf papers but definitely keeps all the important papers altogether, and I love that it has a pencil pouch in the back that he cant take off, translation lose."", ""rephrased_it(without experience & observation)"":""The user mentioned that the folder is durable and can keep all the important papers together. It also has a pencil pouch in the back that cannot be removed, which is a positive aspect of the product."", ""sentiment"":""positive""}",1,0,2.731095790863037,https://amazon.com/dp/B09Y5MPT1W,"""I really like this and think I would have loved it as a student.

Not oversized like a binder so it easily fits in my sons backpack

and he can easily carry everything he needs from class to class.

I dont recommend overstuffing it with loose leaf papers but definitely keeps all the important papers altogether, and I love that it has a pencil pouch in the back that he cant take off, translation lose.

Will definitely buy again.""","{'feature': 'durability of project-folders', 'actual_sentence_extracted': 'I dont recommend overstuffing it with loose leaf papers but definitely keeps all the important papers altogether, and I love that it has a pencil pouch in the back that he cant take off, translation lose.', 'rephrased_it(without experience & observation)': 'The user mentioned that the folder is durable and can keep all the important papers together. It also has a pencil pouch in the back that cannot be removed, which is a positive aspect of the product.', 'sentiment': 'positive'}",durability,"The user mentioned that the folder is durable and can keep all the important papers together. It also has a pencil pouch in the back that cannot be removed, which is a positive aspect of the product.",,"The folder is durable and can keep all my important papers together. It also has a pencil pouch in the back, which is a positive aspect of the product.",490512,YES,"{""text"": [""The folder is durable and can keep all my important papers together. It also has a pencil pouch in the back."", ""The folder is durable and can keep all my important papers together. It also has a pencil pouch in the back, which is a positive aspect of the product.""]}",30,400057,2024-06-05T08:17:25.252995Z,2024-06-05T08:17:34.868904Z,58473.184,YES,same
dacae7e4-bc4b-11ed-a7ba-930ee103a0a2,0,5,"{""feature"":""portability of project-folders"", ""actual_sentence_extracted"":""They come out of my students backpacks bent and folded, but they bounce back and flatten out."", ""rephrased_it(without experience & observation)"":""The user mentioned that the folders come out of the backpacks bent and folded, but they bounce back and flatten out, indicating that they are durable and can withstand the wear and tear of being carried around."", ""sentiment"":""positive""}",7,0,2.300455808639526,https://amazon.com/dp/B07RHCJXDZ,"""I love these folders!

They are durable.

They come out of my students backpacks bent and folded, but they bounce back and flatten out.

I can put our class calendar on the front cover for easy reference and our newsletter on the back cover.

The labeled pockets inside help parents know what can stay home (likely Im a stack to look through later) and what should be looked through sooner and returned to school.","{'feature': 'portability of project-folders', 'actual_sentence_extracted': 'They come out of my students backpacks bent and folded, but they bounce back and flatten out.', 'rephrased_it(without experience & observation)': 'The user mentioned that the folders come out of the backpacks bent and folded, but they bounce back and flatten out, indicating that they are durable and can withstand the wear and tear of being carried around.', 'sentiment': 'positive'}",portability,"The user mentioned that the folders come out of the backpacks bent and folded, but they bounce back and flatten out, indicating that they are durable and can withstand the wear and tear of being carried around.",,"The folders come out of the backpacks bent and folded, but they bounce back and flatten out, indicating their durability and ability to withstand wear and tear.",490489,Other,"{""text"": [""The folders come out of the backpacks bent and folded, but they bounce back and flatten out, indicating their durability and ability to withstand wear and tear."", ""The folders come out of the backpacks bent and folded, but they bounce back and flatten out, indicating their durability and ability to withstand wear and tear.""]}",30,399827,2024-06-05T07:47:05.417582Z,2024-06-05T07:47:21.838217Z,56660.093,YES,different
0293a9c2-8cbb-11ed-a7ba-930ee103a0a2,0,5,"{""feature"":""durability of project-folders"", ""actual_sentence_extracted"":""The folder durability is thick and ready for use daily and wont wear out quickly"", ""rephrased_it(without experience & observation)"":""The user mentioned that the folder is thick and durable, and can be used daily without wearing out quickly."", ""sentiment"":""positive""}",1,0,1.78434419631958,https://amazon.com/dp/B0B5PCJ268,"I ordered these folders and they are sturdy with two pockets inside.

My kids use them and they like to put labels on them.

The bright colors are good for organization.

The folders are easy to hole punch if needed to be.

The folder durability is  thick and ready for use daily and wont wear out quickly.","{'feature': 'durability of project-folders', 'actual_sentence_extracted': 'The folder durability is thick and ready for use daily and wont wear out quickly', 'rephrased_it(without experience & observation)': 'The user mentioned that the folder is thick and durable, and can be used daily without wearing out quickly.', 'sentiment': 'positive'}",durability,"The user mentioned that the folder is thick and durable, and can be used daily without wearing out quickly.",,"The folder is thick and durable, and I can use it daily without it wearing out quickly.",490659,YES,"The folder is thick and durable, and I can use it daily without it wearing out quickly.",30,400548,2024-06-05T09:15:53.459248Z,2024-06-05T09:15:53.459303Z,5.543,YES,same
9c367682-bc56-11ed-a7ba-930ee103a0a2,2,5,"""{'feature': 'portability of project-folders', 'actual_sentence_extracted': 'I keep all the paperwork for the Customer/ Sale in one of these and write the name at the top and I file these vertically in an open top file box', 'rephrased_it(without experience & observation)':'The user mentioned that he keeps all the paperwork for the Customer/ Sale in one of these and files them vertically in an open top file box.', 'sentiment':'positive'}""",1,0,2.688501358032227,https://amazon.com/dp/B09J47J34B,"""I was getting so sick of paperclips getting caught on everything... and Im not a fan of Staples thanks to a filing injury back in the day. I also had a bad car accident and bending over a file cabinet isnt good for me."", I work in purchasing and have lots of paperwork in and out all day. Lots of interruptions, so I take alot of notes.. ext.., I keep all the paperwork for the Customer/ Sale in one of these and write the name at the top and I file these vertically in an open top file box., I stagger each letter, so I can find it quickly and remove the folder quickly with no worries about a paperclip pulling out multiple files or getting cut by a staple..., ""I also use Sharpie on these for quick note taking and putting the customers name on top."", The sharpie holds up very well while rubbing again other files and then simply wipes off at the end. I was amazed and now in love.. I need more!, ""Piles on the desk look neat and tidy and you dont have to worry about Staples until the job is billed and filed away."", If you deal with alot of paperwork you will love these.., TLDR: Great for vertical filing, sharpie stays and wipes clean, great for lots of paperwork, neat stacks on desk!","{'feature': 'portability of project-folders', 'actual_sentence_extracted': 'I keep all the paperwork for the Customer/ Sale in one of these and write the name at the top and I file these vertically in an open top file box', 'rephrased_it(without experience & observation)': 'The user mentioned that he keeps all the paperwork for the Customer/ Sale in one of these and files them vertically in an open top file box.', 'sentiment': 'positive'}",portability,The user mentioned that he keeps all the paperwork for the Customer/ Sale in one of these and files them vertically in an open top file box.,,I keep all the paperwork for the Customer/Sale in one of these and file them vertically in an open top file box.,490658,NO,I keep all the paperwork for the Customer/Sale in one of these and file them vertically in an open top file box.,30,400553,2024-06-05T09:16:12.003318Z,2024-06-05T09:16:12.003371Z,17.053,NO,same
9c367682-bc56-11ed-a7ba-930ee103a0a2,2,5,"""{'feature': 'organization of project-folders', 'actual_sentence_extracted': 'I keep all the paperwork for the Customer/ Sale in one of these and write the name at the top and I file these vertically in an open top file box', 'rephrased_it(without experience & observation)':'The user mentioned that he keeps all the paperwork for the Customer/ Sale in one of these and writes the name at the top and files these vertically in an open-top file box.', 'sentiment':'positive'}""",1,0,2.673044443130493,https://amazon.com/dp/B09J47J34B,"""I was getting so sick of paperclips getting caught on everything... and Im not a fan of Staples thanks to a filing injury back in the day. I also had a bad car accident and bending over a file cabinet isnt good for me."", I work in purchasing and have lots of paperwork in and out all day. Lots of interruptions, so I take alot of notes.. ext.., I keep all the paperwork for the Customer/ Sale in one of these and write the name at the top and I file these vertically in an open top file box., I stagger each letter, so I can find it quickly and remove the folder quickly with no worries about a paperclip pulling out multiple files or getting cut by a staple..., ""I also use Sharpie on these for quick note taking and putting the customers name on top."", The sharpie holds up very well while rubbing again other files and then simply wipes off at the end. I was amazed and now in love.. I need more!, ""Piles on the desk look neat and tidy and you dont have to worry about Staples until the job is billed and filed away."", If you deal with alot of paperwork you will love these.., TLDR: Great for vertical filing, sharpie stays and wipes clean, great for lots of paperwork, neat stacks on desk!","{'feature': 'organization of project-folders', 'actual_sentence_extracted': 'I keep all the paperwork for the Customer/ Sale in one of these and write the name at the top and I file these vertically in an open top file box', 'rephrased_it(without experience & observation)': 'The user mentioned that he keeps all the paperwork for the Customer/ Sale in one of these and writes the name at the top and files these vertically in an open-top file box.', 'sentiment': 'positive'}",organization,The user mentioned that he keeps all the paperwork for the Customer/ Sale in one of these and writes the name at the top and files these vertically in an open-top file box.,,"I keep all the paperwork for the Customer/Sale in one of these and write the name at the top, filing them vertically in an open-top file box.",490657,YES,"I keep all the paperwork for the Customer/Sale in one of these and write the name at the top, filing them vertically in an open-top file box.",30,400554,2024-06-05T09:16:20.658572Z,2024-06-05T09:16:20.658623Z,6.127,YES,same
9c367682-bc56-11ed-a7ba-930ee103a0a2,2,5,"""{'feature': 'durability of project-folders', 'actual_sentence_extracted': 'The sharpie holds up very well while rubbing again other files and then simply wipes off at the end. I was amazed and now in love.. I need more!', 'rephrased_it(without experience & observation)': 'The user is impressed with the durability of the project folders, specifically the ability of the Sharpie to hold up well while rubbing against other files and then wiping off cleanly.', 'sentiment': 'positive'}""",2,0,2.682245492935181,https://amazon.com/dp/B09J47J34B,"""I was getting so sick of paperclips getting caught on everything... and Im not a fan of Staples thanks to a filing injury back in the day. I also had a bad car accident and bending over a file cabinet isnt good for me."", I work in purchasing and have lots of paperwork in and out all day. Lots of interruptions, so I take alot of notes.. ext.., I keep all the paperwork for the Customer/ Sale in one of these and write the name at the top and I file these vertically in an open top file box., I stagger each letter, so I can find it quickly and remove the folder quickly with no worries about a paperclip pulling out multiple files or getting cut by a staple..., ""I also use Sharpie on these for quick note taking and putting the customers name on top."", The sharpie holds up very well while rubbing again other files and then simply wipes off at the end. I was amazed and now in love.. I need more!, ""Piles on the desk look neat and tidy and you dont have to worry about Staples until the job is billed and filed away."", If you deal with alot of paperwork you will love these.., TLDR: Great for vertical filing, sharpie stays and wipes clean, great for lots of paperwork, neat stacks on desk!","{'feature': 'durability of project-folders', 'actual_sentence_extracted': 'The sharpie holds up very well while rubbing again other files and then simply wipes off at the end. I was amazed and now in love.. I need more!', 'rephrased_it(without experience & observation)': 'The user is impressed with the durability of the project folders, specifically the ability of the Sharpie to hold up well while rubbing against other files and then wiping off cleanly.', 'sentiment': 'positive'}",durability,"The user is impressed with the durability of the project folders, specifically the ability of the Sharpie to hold up well while rubbing against other files and then wiping off cleanly.",,"I am impressed with the durability of the project folders, especially the Sharpie's ability to withstand rubbing against other files and wiping off cleanly.",490656,YES,"I am impressed with the durability of the project folders, especially the Sharpie's ability to withstand rubbing against other files and wiping off cleanly.",30,400565,2024-06-05T09:18:11.408870Z,2024-06-05T09:18:11.408923Z,109.218,YES,same
9c367682-bc56-11ed-a7ba-930ee103a0a2,0,5,"""{'feature': 'durability of project-folders', 'actual_sentence_extracted': 'I am constantly over filling and shoving these into a backpack and they hold up well!', 'rephrased_it(without experience & observation)': 'The user mentioned that the folders are durable and can withstand constant overfilling and shoving into a backpack.', 'sentiment': 'positive'}""",1,0,1.949616193771362,https://amazon.com/dp/B09J47J34B,"I’ve been switching over to these types of folders from the poly ones with the string closure.  

(They always fall off).

I love this style because they are super slim but still durable.

I am constantly over filling and shoving these into a backpack and they hold up well!  

They aren’t as transparent as some on the market.

I like it so there’s a little privacy on your documents

but I’m still able to see what is inside the folder.","{'feature': 'durability of project-folders', 'actual_sentence_extracted': 'I am constantly over filling and shoving these into a backpack and they hold up well!', 'rephrased_it(without experience & observation)': 'The user mentioned that the folders are durable and can withstand constant overfilling and shoving into a backpack.', 'sentiment': 'positive'}",durability,The user mentioned that the folders are durable and can withstand constant overfilling and shoving into a backpack.,,The folders I use are durable and can withstand constant overfilling and shoving into a backpack.,490655,YES,The folders I use are durable and can withstand constant overfilling and shoving into a backpack.,30,400566,2024-06-05T09:18:16.639914Z,2024-06-05T09:18:16.639966Z,3.787,YES,same
9c367682-bc56-11ed-a7ba-930ee103a0a2,2,5,"""{'feature': 'capacity of project-folders', 'actual_sentence_extracted': 'I keep all the paperwork for the Customer/ Sale in one of these and write the name at the top and I file these vertically in an open top file box', 'rephrased_it(without experience & observation)':'The user mentioned that he keeps all the paperwork for the customer/sale in one of these project-folders and writes the name at the top and files them vertically in an open-top file box.', 'sentiment':'positive'}""",1,0,2.729906320571899,https://amazon.com/dp/B09J47J34B,"""I was getting so sick of paperclips getting caught on everything... and Im not a fan of Staples thanks to a filing injury back in the day. I also had a bad car accident and bending over a file cabinet isnt good for me."", I work in purchasing and have lots of paperwork in and out all day. Lots of interruptions, so I take alot of notes.. ext.., I keep all the paperwork for the Customer/ Sale in one of these and write the name at the top and I file these vertically in an open top file box., I stagger each letter, so I can find it quickly and remove the folder quickly with no worries about a paperclip pulling out multiple files or getting cut by a staple..., ""I also use Sharpie on these for quick note taking and putting the customers name on top."", The sharpie holds up very well while rubbing again other files and then simply wipes off at the end. I was amazed and now in love.. I need more!, ""Piles on the desk look neat and tidy and you dont have to worry about Staples until the job is billed and filed away."", If you deal with alot of paperwork you will love these.., TLDR: Great for vertical filing, sharpie stays and wipes clean, great for lots of paperwork, neat stacks on desk!","{'feature': 'capacity of project-folders', 'actual_sentence_extracted': 'I keep all the paperwork for the Customer/ Sale in one of these and write the name at the top and I file these vertically in an open top file box', 'rephrased_it(without experience & observation)': 'The user mentioned that he keeps all the paperwork for the customer/sale in one of these project-folders and writes the name at the top and files them vertically in an open-top file box.', 'sentiment': 'positive'}",capacity,The user mentioned that he keeps all the paperwork for the customer/sale in one of these project-folders and writes the name at the top and files them vertically in an open-top file box.,,"I keep all the paperwork for the customer/sale in one of these project-folders and write the name at the top, filing them vertically in an open-top file box.",490654,NO,"I keep all the paperwork for the customer/sale in one of these project-folders and write the name at the top, filing them vertically in an open-top file box.",30,400567,2024-06-05T09:18:30.992369Z,2024-06-05T09:18:30.992420Z,12.824,YES,different
