Pid,is_helpful,rating,Actual Response,Review Number,Cost per review,Time Taken,amazon_page,Review text,Rephrased Snippets,aspect,QA_Content,Accept,Processed_QA_Content,id,accept_choice1,accept1,annotator,annotation_id,created_at,updated_at,lead_time,Model_choice,compare
0293aba1-8cbb-11ed-a7ba-930ee103a0a2,0,1,"""{'feature': 'ring size capacity of round-ring-binders', 'actual_sentence_extracted': 'The photo and description indicate that the rings are one-inch. In reality two of the binders have one-inch rings and four have half-inch rings.', 'rephrased_it(without experience & observation)': 'The user mentioned that the ring size of the binder was different from what was mentioned in the photo and description. Two of the binders had one-inch rings and four had half-inch rings.', 'sentiment': 'negative'}""",2,0,2.615581512451172,https://amazon.com/dp/B07FKXHP1H,"""We ordered a six-pack of these binders.

The photo and description indicate that the rings are one-inch.

In reality two of the binders have one-inch rings and four have half-inch rings.

They cant fit a spiral notebook and some loose paper, which is our schools requirement.

So were throwing these away and ordering a different brand.

An absolute waste of money.""","{'feature': 'ring size capacity of round-ring-binders', 'actual_sentence_extracted': 'The photo and description indicate that the rings are one-inch. In reality two of the binders have one-inch rings and four have half-inch rings.', 'rephrased_it(without experience & observation)': 'The user mentioned that the ring size of the binder was different from what was mentioned in the photo and description. Two of the binders had one-inch rings and four had half-inch rings.', 'sentiment': 'negative'}",ring size capacity,The user mentioned that the ring size of the binder was different from what was mentioned in the photo and description. Two of the binders had one-inch rings and four had half-inch rings.,,The ring size of the binder was different from what was mentioned in the photo and description. Two binders had one-inch rings and four had half-inch rings.,492704,YES,"{""text"": [""The ring size of the binder was different from what was mentioned in the photo and description. Two binders had one-inch rings and four had half-inch rings."", ""The ring size of the binder was different from what was mentioned in the photo and description. Two binders had one-inch rings and four had half-inch rings.""]}",38,403639,2024-06-06T08:38:13.776724Z,2024-06-06T08:38:17.953670Z,10338.787,YES,same
0293abb6-8cbb-11ed-a7ba-930ee103a0a2,0,5,"{""feature"":""material durability of round-ring-binders"", ""actual_sentence_extracted"":""The binders are durable and have the extra pockets front and back"", ""rephrased_it(without experience & observation)"":""The user mentioned that the binders are durable and have extra pockets on the front and back."", ""sentiment"":""positive""}",4,0,1.750246524810791,https://amazon.com/dp/B07V6FNM6Z,"""These one inch binders are just what I was looking for.  

I like that the set has six different colors

so I dont have to use a label on the spine, it also creates a cleaner look on the shelf.  

The binders are durable and have the extra pockets front and back.  

The shipping was fast, the binders were packed well and the cost was less than in the stores, which I found odd considering it is back to school time.""","{'feature': 'material durability of round-ring-binders', 'actual_sentence_extracted': 'The binders are durable and have the extra pockets front and back', 'rephrased_it(without experience & observation)': 'The user mentioned that the binders are durable and have extra pockets on the front and back.', 'sentiment': 'positive'}",material durability,The user mentioned that the binders are durable and have extra pockets on the front and back.,,The binders have extra pockets on the front and back and are durable.,492668,Other,"{""text"": [""The binders have extra pockets on the front and back and are durable."", ""The binders have extra pockets on the front and back and are durable.""]}",38,403600,2024-06-06T08:35:14.253846Z,2024-06-06T08:35:18.545192Z,10159.361,YES,different
0293abb6-8cbb-11ed-a7ba-930ee103a0a2,11,5,"{""feature"":""cover design of round-ring-binders"", ""actual_sentence_extracted"":""Very good quality in different colors which is much easier for me to categorize for different purposes!"", ""rephrased_it(without experience & observation)"":""The user mentioned that the quality of the binders is very good and they come in different colors which makes it easier for them to categorize for different purposes."", ""sentiment"":""positive""}",7,0,2.122668266296387,https://amazon.com/dp/B07V6FNM6Z,"Great quality with very reasonable price!

I was trying to find some good blinders to organize and sort my documents.

After searching for different brands and items I ordered this one.

And they are exceeding my expectation!

Very good quality in different colors which is much easier for me to categorize for different purposes!  

Highly recommending to students and work professionals who like to have paper docs in orders!

Will totally buy again!","{'feature': 'cover design of round-ring-binders', 'actual_sentence_extracted': 'Very good quality in different colors which is much easier for me to categorize for different purposes!', 'rephrased_it(without experience & observation)': 'The user mentioned that the quality of the binders is very good and they come in different colors which makes it easier for them to categorize for different purposes.', 'sentiment': 'positive'}",cover design,The user mentioned that the quality of the binders is very good and they come in different colors which makes it easier for them to categorize for different purposes.,,"The binders have good quality and come in different colors, making it easier for me to categorize for different purposes.",492664,NO,"{""text"": [""The binders have good quality and come in different colors, making it easier for me to categorize for different purposes."", ""The binders have good quality and come in different colors, making it easier for me to categorize for different purposes.""]}",38,403596,2024-06-06T08:34:38.521449Z,2024-06-06T08:34:43.524522Z,10124.325,NO,same
0291f463-8cbb-11ed-a7ba-930ee103a0a2,0,4,"{""feature"":""ring size capacity of round-ring-binders"", ""actual_sentence_extracted"":""I ordered a 1.5 inch black binder, as the title of the page says. I received a 2 inch black binder."", ""rephrased_it(without experience & observation)"":""The user ordered a 1.5 inch black binder but received a 2 inch black binder, which was not what they were expecting."", ""sentiment"":""negative""}",5,0,2.239906311035156,https://amazon.com/dp/B000WFMBO6,"""I ordered a 1.5 inch black binder, as the title of the page says.

I received a 2 inch black binder.

The sticker on it even said 1.5 inch, even though it was obviously a 2 inch.

The extra size makes it a bit hard to fit into my music bag but I didnt think it was worth returning.

Other than that its a good binder.""","{'feature': 'ring size capacity of round-ring-binders', 'actual_sentence_extracted': 'I ordered a 1.5 inch black binder, as the title of the page says. I received a 2 inch black binder.', 'rephrased_it(without experience & observation)': 'The user ordered a 1.5 inch black binder but received a 2 inch black binder, which was not what they were expecting.', 'sentiment': 'negative'}",ring size capacity,"The user ordered a 1.5 inch black binder but received a 2 inch black binder, which was not what they were expecting.",,"I ordered a 1.5 inch black binder but received a 2 inch black binder, which was not what I was expecting. (Note: The sentence is already in first person, so step 1 is not applicable. Step 2 and 3 have been followed to make the sentence concise.)",492654,NO,"{""text"": [""I ordered a 1.5 inch black binder but received a 2 inch black binder, which was not what I was expecting. (Note: The sentence is already in first person, so step 1 is not applicable. Step 2 and 3 have been followed to make the sentence concise.)"", ""I ordered a 1.5 inch black binder but received a 2 inch black binder, which was not what I was expecting. (Note: The sentence is already in first person, so step 1 is not applicable. Step 2 and 3 have been followed to make the sentence concise.)""]}",38,403584,2024-06-06T08:33:35.037849Z,2024-06-06T08:33:39.816351Z,10060.583,YES,different
534b78d2-8cba-11ed-a7ba-930ee103a0a2,0,1,"""{'feature': 'ring size capacity of round-ring-binders', 'actual_sentence_extracted': 'Every single ring in the 3-ring binder by Cardinal Products on Amazon is bent, some are bigger sizes, it looks like a 4-year old used a pair of pliers to mold these into a geometric pattern, not quite resembling a circle.', 'rephrased_it(without experience & observation)': 'The user mentioned that every single ring in the 3-ring binder is bent and some are bigger sizes. It looks like a 4-year old used a pair of pliers to mold these into a geometric pattern, not quite resembling a circle.', 'sentiment': 'negative'}""",2,0,3.267863512039185,https://amazon.com/dp/B00FG2NAC2,"I am speechless!  

Every single ring in the 3-ring binder by Cardinal Products on Amazon is bent, some are bigger sizes, it looks like a 4-year old used a pair of pliers to mold these into a geometric pattern, not quite resembling a circle.

What a piece of junk!!  

Every ring from a 4-pack binder set, white, 1.5"".  

This is not damaged in shipping, it was packaged perfectly.  

This is the result of a sloppy manufacturer.  

I\m

disgusted that someone could think this was acceptable.","{'feature': 'ring size capacity of round-ring-binders', 'actual_sentence_extracted': 'Every single ring in the 3-ring binder by Cardinal Products on Amazon is bent, some are bigger sizes, it looks like a 4-year old used a pair of pliers to mold these into a geometric pattern, not quite resembling a circle.', 'rephrased_it(without experience & observation)': 'The user mentioned that every single ring in the 3-ring binder is bent and some are bigger sizes. It looks like a 4-year old used a pair of pliers to mold these into a geometric pattern, not quite resembling a circle.', 'sentiment': 'negative'}",ring size capacity,"The user mentioned that every single ring in the 3-ring binder is bent and some are bigger sizes. It looks like a 4-year old used a pair of pliers to mold these into a geometric pattern, not quite resembling a circle.",,"Every ring in my 3-ring binder is bent and some are bigger sizes, as if a 4-year old used a pair of pliers to mold them into a geometric pattern that doesn't resemble a circle.",492636,YES,"{""text"": [""Every ring in my 3-ring binder is bent and some are bigger sizes, as if a 4-year old used a pair of pliers to mold them into a geometric pattern that doesn't resemble a circle."", ""Every ring in my 3-ring binder is bent and some are bigger sizes, as if a 4-year old used a pair of pliers to mold them into a geometric pattern that doesn't resemble a circle.""]}",38,403541,2024-06-06T08:26:17.955027Z,2024-06-06T08:26:22.171267Z,9623.005,YES,same
0291f47b-8cbb-11ed-a7ba-930ee103a0a2,2,1,"""{'feature': 'spine width of round-ring-binders', 'actual_sentence_extracted': 'The three rings inside are also placed on the face of the binder on the right side not in the middle which makes it awkward when you documents in it.', 'rephrased_it(without experience & observation)': 'The user mentioned that the three rings inside are placed on the face of the binder on the right side not in the middle which makes it awkward when you documents in it.', 'sentiment': 'negative'}""",8,0,2.551728010177612,https://amazon.com/dp/B00BL3ESU8,"I was so excited about these binders because the price is right but I was very disappointed when I got.

They look really cheap, thin, and flimsy.

They are also shinny and slippery.

The three rings inside are also placed on the face of the binder on the right side not in the middle which makes it awkward when you documents in it.","{'feature': 'spine width of round-ring-binders', 'actual_sentence_extracted': 'The three rings inside are also placed on the face of the binder on the right side not in the middle which makes it awkward when you documents in it.', 'rephrased_it(without experience & observation)': 'The user mentioned that the three rings inside are placed on the face of the binder on the right side not in the middle which makes it awkward when you documents in it.', 'sentiment': 'negative'}",spine width,The user mentioned that the three rings inside are placed on the face of the binder on the right side not in the middle which makes it awkward when you documents in it.,,"The three rings inside the binder are placed on the right side of the face, which makes it awkward to store documents.",492620,NO,"{""text"": [""The three rings inside the binder are placed on the right side of the face, which makes it awkward to store documents."", ""The three rings inside the binder are placed on the right side of the face, which makes it awkward to store documents.""]}",38,403517,2024-06-06T08:24:36.628959Z,2024-06-06T08:24:49.568510Z,9530.41,OTHER,different
0291f47b-8cbb-11ed-a7ba-930ee103a0a2,23,2,"{""feature"":""material durability of round-ring-binders"", ""actual_sentence_extracted"": ""The binders are basically okay, but they unfortunately look (and are) a bit cheap"", ""rephrased_it(without experience & observation)"":""The user has mentioned that the binders look and feel cheap, which indicates that the material durability of the binders is not up to the mark."", ""sentiment"":""negative""}",5,0,2.224400997161865,https://amazon.com/dp/B00BL3ESU8,"""The binders are basically okay, but they unfortunately look (and are) a bit cheap.  First, there are dents on the inside of the front and back covers in almost every corner -- maybe from the way these were packed.  Regardless, the dents dont look or feel good. Also, both the clear plastic that wraps the white covers and the white plastic itself isnt pulled tight on most of the binders, which creates wrinkles/air pockets that just dont look good.  I will be looking for another manufacturer next time I need these.""","{'feature': 'material durability of round-ring-binders', 'actual_sentence_extracted': 'The binders are basically okay, but they unfortunately look (and are) a bit cheap', 'rephrased_it(without experience & observation)': 'The user has mentioned that the binders look and feel cheap, which indicates that the material durability of the binders is not up to the mark.', 'sentiment': 'negative'}",material durability,"The user has mentioned that the binders look and feel cheap, which indicates that the material durability of the binders is not up to the mark.",,"The binders look and feel cheap, indicating that their material durability is not up to the mark.",492614,NO,"{""text"": [""The binders look and feel cheap, indicating that their material durability is not up to the mark."", ""The binders look and feel cheap, indicating that their material durability is not up to the mark.""]}",38,403509,2024-06-06T08:24:03.454128Z,2024-06-06T08:24:06.089975Z,9486.929,YES,different
0291f46e-8cbb-11ed-a7ba-930ee103a0a2,0,1,"{""feature"":""closure mechanism of round-ring-binders"", ""actual_sentence_extracted"":None, ""rephrased_it(without experience & observation)"":""The user expressed dissatisfaction with the binder, mentioning that it was scuffed up and had tiny holes along the bottom of the front and back pocket. The user also mentioned that they are returning the product due to its poor quality."", ""sentiment"":""negative""}",5,0,2.030232906341553,https://amazon.com/dp/B00006IEM5,"I paid nearly $8 for this binder and it came like others have mentioned, without any indication that it was the Avery brand.

It was scuffed up and had tiny holes all along the bottom of the front and back pocket.

I went to targets website to order one and saw the same binder for sale for .99, This binder is trash and I’m returning it.

I am annoyed that I have to go through the hassle of doing so

but I can’t justify keeping it for what I paid.","{'feature': 'closure mechanism of round-ring-binders', 'actual_sentence_extracted': None, 'rephrased_it(without experience & observation)': 'The user expressed dissatisfaction with the binder, mentioning that it was scuffed up and had tiny holes along the bottom of the front and back pocket. The user also mentioned that they are returning the product due to its poor quality.', 'sentiment': 'negative'}",closure mechanism,"The user expressed dissatisfaction with the binder, mentioning that it was scuffed up and had tiny holes along the bottom of the front and back pocket. The user also mentioned that they are returning the product due to its poor quality.",,I am returning the binder due to its poor quality. It is scuffed up and has tiny holes along the bottom of the front and back pocket.,492589,Other,"{""text"": [""I am returning the binder due to its poor quality. It is scuffed up and has tiny holes along the bottom of the front and back pocket."", ""I am returning the binder due to its poor quality. It is scuffed up and has tiny holes along the bottom of the front and back pocket.""]}",38,403476,2024-06-06T08:21:06.117255Z,2024-06-06T08:21:09.590930Z,9310.435,OTHER,different
0293ab9b-8cbb-11ed-a7ba-930ee103a0a2,0,5,"{""feature"":""pockets and dividers of round-ring-binders"", ""actual_sentence_extracted"":""The front and back inner parts of the binders also have pockets which seems trivial but many binders don’t seem to come with pockets any more."", ""rephrased_it(without experience & observation)"":""The user mentioned that the binders have pockets on the front and back inner parts, which is a useful feature that many binders lack."", ""sentiment"":""positive""}",5,0,2.328704118728638,https://amazon.com/dp/B08X6NFTJ6,"Great binders at a good price and no hassle with going to the store.  

The rings close tightly which has been an issue with some binders I’ve used in the past.  

The front and back inner parts of the binders also have pockets which seems trivial but many binders don’t seem to come with pockets any more.  

I use these for work and school for the kids.  

Price for value I’d say they are worth the buy.  

Its been over a month so far and they are holding strong.","{'feature': 'pockets and dividers of round-ring-binders', 'actual_sentence_extracted': 'The front and back inner parts of the binders also have pockets which seems trivial but many binders don’t seem to come with pockets any more.', 'rephrased_it(without experience & observation)': 'The user mentioned that the binders have pockets on the front and back inner parts, which is a useful feature that many binders lack.', 'sentiment': 'positive'}",pockets and dividers,"The user mentioned that the binders have pockets on the front and back inner parts, which is a useful feature that many binders lack.",,"I noticed that the binders have pockets on the front and back inner parts, which is a useful feature that many binders lack.

 
The binders have useful pockets on the front and back inner parts, which many binders lack.",492582,YES,"{""text"": [""I noticed that the binders have pockets on the front and back inner parts, which is a useful feature that many binders lack."", ""I noticed that the binders have pockets on the front and back inner parts, which is a useful feature that many binders lack.\n\n \nThe binders have useful pockets on the front and back inner parts, which many binders lack.""]}",38,403461,2024-06-06T08:20:28.103579Z,2024-06-06T08:20:36.565506Z,9277.402,YES,same
0291f481-8cbb-11ed-a7ba-930ee103a0a2,3,5,"{""feature"":""ring size capacity of round-ring-binders"", ""actual_sentence_extracted"": ""The size of these binders is quite large. They each hold hundreds of pages in sheet protectors and never seem to fill up, which is a great thing!"", ""rephrased_it(without experience & observation)"":""The reviewer mentioned that the size of the binders is quite large and they can hold hundreds of pages in sheet protectors without filling up."", ""sentiment"":""positive""}",1,0,2.496123790740967,https://amazon.com/dp/B08LDYSWPR,"I love the way the bindings aren’t fixed to the rings. I can fold the binder in half to work on a specific pattern without messing up my carefully organized pages. This means the open binder can be used in half the space., I love the loose bindings, but they can pose a problem, depending on what they are used for. They must be supported on both sides by a shelf wall or bookends so they don’t collapse when stored., The size of these binders is quite large. They each hold hundreds of pages in sheet protectors and never seem to fill up, which is a great thing! When I do fill these, I will be back to order more!","{'feature': 'ring size capacity of round-ring-binders', 'actual_sentence_extracted': 'The size of these binders is quite large. They each hold hundreds of pages in sheet protectors and never seem to fill up, which is a great thing!', 'rephrased_it(without experience & observation)': 'The reviewer mentioned that the size of the binders is quite large and they can hold hundreds of pages in sheet protectors without filling up.', 'sentiment': 'positive'}",ring size capacity,The reviewer mentioned that the size of the binders is quite large and they can hold hundreds of pages in sheet protectors without filling up.,,The binders can hold hundreds of pages in sheet protectors without filling up and are quite large.,492567,YES,"{""text"": [""The binders can hold hundreds of pages in sheet protectors without filling up and are quite large."", ""The binders can hold hundreds of pages in sheet protectors without filling up and are quite large."", ""The binders can hold hundreds of pages in sheet protectors without filling up and are quite large.""]}",38,403443,2024-06-06T08:18:41.225077Z,2024-06-06T08:18:53.236023Z,9174.076,YES,same
