Pid,is_helpful,rating,Actual Response,Review Number,Cost per review,Time Taken,amazon_page,Review text,Rephrased Snippets,aspect,QA_Content,Accept,Processed_QA_Content,id,accept_choice1,accept1,annotator,annotation_id,created_at,updated_at,lead_time,Model_choice,compare
b840873e-1f9a-11ef-a36d-35b3d2a66b56,2,5,"{""feature"":""comfort grip of wooden-colored-pencils"", ""actual_sentence_extracted"":""I always bring these along when I’m spending time with younger kids with no fear that they will get messed up or make a mess that can’t easily be cleaned up with water."", ""rephrased_it(without experience & observation)"":""The user mentioned that he always carries these pencils while spending time with younger kids without any fear of them getting messed up or making a mess that can't be easily cleaned up with water."", ""sentiment"":""positive""}",1,0,2.594611644744873,https://amazon.com/dp/B000FFR5K8,"I am REALLY liberal with color application with these things and I think I’ve only sharpened a few even once.

, I love how versatile the techniques are that you can get from these guys.

Anything you can do with a Gelato, you can do with a woody, but with the added benefit of there being more of a tip.

I always bring these along when I’m spending time with younger kids with no fear that they will get messed up or make a mess that can’t easily be cleaned up with water.","{'feature': 'comfort grip of wooden-colored-pencils', 'actual_sentence_extracted': 'I always bring these along when I’m spending time with younger kids with no fear that they will get messed up or make a mess that can’t easily be cleaned up with water.', 'rephrased_it(without experience & observation)': ""The user mentioned that he always carries these pencils while spending time with younger kids without any fear of them getting messed up or making a mess that can't be easily cleaned up with water."", 'sentiment': 'positive'}",comfort grip,The user mentioned that he always carries these pencils while spending time with younger kids without any fear of them getting messed up or making a mess that can't be easily cleaned up with water.,,I always carry these pencils while spending time with younger kids without any fear of them getting messed up or making a mess that can't be easily cleaned up with water.,492238,Other,"{""text"": [""I always carry these pencils while spending time with younger kids without any fear of them getting messed up or making a mess that can't be easily cleaned up with water."", ""I always carry these pencils while spending time with younger kids without any fear of them getting messed up or making a mess that can't be easily cleaned up with water.""]}",30,401809,2024-06-06T04:35:59.122257Z,2024-06-06T04:36:03.041176Z,50864.057,OTHER,different
9d33daf8-8cba-11ed-a7ba-930ee103a0a2,0,4,"{""feature"":""smoothness of application of wooden-colored-pencils"", ""actual_sentence_extracted"": ""the wood bits dont sit evenly across all edges of the pointed end, and so the pencil tips are not sharp, theyre awkwardly shaped and cause my doodling to be of uneven thickness"", ""rephrased_it(without experience & observation)"":""The user has mentioned that the wood bits do not sit evenly across all edges of the pointed end, which results in awkwardly shaped pencil tips that cause uneven thickness in doodling."", ""sentiment"":""negative""}",2,0,2.826583623886108,https://amazon.com/dp/B06ZY5VC9T,"""I like the color combinations they did with this set, it works well for the two-color doodling Im trying out using some japanese drawing books. The price was strangely low compared to some other brands that offer duo-colors but I was willing to give it a try. The triangular shape was nice, and the pencils are thin and easy to fit into a standard pencil holder but the way they came sharpened was kind of hideous. I guess because theyre so thin and triangular, the wood bits dont sit evenly across all edges of the pointed end, and so the pencil tips are not sharp, theyre awkwardly shaped and cause my doodling to be of uneven thickness. Im sure re-sharpening the points might help but its just odd to me to sharpen already sharpened pencils. Also the cores are harder than Id prefer, with less pigment than other colored pencils. Still, for the price, its decent and they blend pretty well.""","{'feature': 'smoothness of application of wooden-colored-pencils', 'actual_sentence_extracted': 'the wood bits dont sit evenly across all edges of the pointed end, and so the pencil tips are not sharp, theyre awkwardly shaped and cause my doodling to be of uneven thickness', 'rephrased_it(without experience & observation)': 'The user has mentioned that the wood bits do not sit evenly across all edges of the pointed end, which results in awkwardly shaped pencil tips that cause uneven thickness in doodling.', 'sentiment': 'negative'}",smoothness of application,"The user has mentioned that the wood bits do not sit evenly across all edges of the pointed end, which results in awkwardly shaped pencil tips that cause uneven thickness in doodling.",,"The wood bits do not sit evenly across all edges of the pointed end, resulting in awkwardly shaped pencil tips and uneven thickness in doodling.",492169,YES,"{""text"": [""The wood bits do not sit evenly across all edges of the pointed end, resulting in awkwardly shaped pencil tips and uneven thickness in doodling."", ""The wood bits do not sit evenly across all edges of the pointed end, resulting in awkwardly shaped pencil tips and uneven thickness in doodling.""]}",30,401711,2024-06-05T16:37:50.433860Z,2024-06-05T16:37:51.197848Z,7772.367,OTHER,different
d6132bf0-1fa3-11ef-a36d-35b3d2a66b56,3,5,"{""feature"":""blendability of wooden-colored-pencils"", ""actual_sentence_extracted"": ""The color selection allowed them to achieve a full spectrum of colors when blended. Most importantly, they provide smooth, even coverage on a variety of textures, and they go on with very little pressure, which allowed her to create wonderful gradients. Lastly, these truly blend when mixed on paper, giving composite hues, in contrast to so many colored pencils that simply smudge together to give a mix of two separate colors"", ""rephrased_it(without experience & observation)"":""The reviewer has mentioned that the color selection allowed the user to achieve a full spectrum of colors when blended. The pencils provide smooth, even coverage on a variety of textures and go on with very little pressure, which allowed the user to create wonderful gradients. The reviewer also mentioned that these truly blend when mixed on paper, giving composite hues, in contrast to so many colored pencils that simply smudge together to give a mix of two separate colors."", ""sentiment"":""positive""}",1,0,4.841996431350708,https://amazon.com/dp/B001CTXYEM,"""I bought these for my aspiring artist on the strength of other recommendations, and Im glad I did.  The color selection allowed them to achieve a full spectrum of colors when blended.  Most importantly, they provide smooth, even coverage on a variety of textures, and they go on with very little pressure, which allowed her to create wonderful gradients.  Lastly, these truly blend when mixed on paper, giving composite hues, in contrast to so many colored pencils that simply smudge together to give a mix of two separate colors.  Worth the price.""","{'feature': 'blendability of wooden-colored-pencils', 'actual_sentence_extracted': 'The color selection allowed them to achieve a full spectrum of colors when blended. Most importantly, they provide smooth, even coverage on a variety of textures, and they go on with very little pressure, which allowed her to create wonderful gradients. Lastly, these truly blend when mixed on paper, giving composite hues, in contrast to so many colored pencils that simply smudge together to give a mix of two separate colors', 'rephrased_it(without experience & observation)': 'The reviewer has mentioned that the color selection allowed the user to achieve a full spectrum of colors when blended. The pencils provide smooth, even coverage on a variety of textures and go on with very little pressure, which allowed the user to create wonderful gradients. The reviewer also mentioned that these truly blend when mixed on paper, giving composite hues, in contrast to so many colored pencils that simply smudge together to give a mix of two separate colors.', 'sentiment': 'positive'}",blendability,"The reviewer has mentioned that the color selection allowed the user to achieve a full spectrum of colors when blended. The pencils provide smooth, even coverage on a variety of textures and go on with very little pressure, which allowed the user to create wonderful gradients. The reviewer also mentioned that these truly blend when mixed on paper, giving composite hues, in contrast to so many colored pencils that simply smudge together to give a mix of two separate colors.",,"I found that the color selection allowed me to achieve a full spectrum of colors when blended. The pencils provide smooth, even coverage on a variety of textures and go on with very little pressure, which allowed me to create wonderful gradients. They truly blend when mixed on paper, giving composite hues, in contrast to so many colored pencils that simply smudge together to give a mix of two separate colors.",492139,NO,"{""text"": [""I found that the color selection allowed me to achieve a full spectrum of colors when blended. The pencils provide smooth, even coverage on a variety of textures and go on with very little pressure, which allowed me to create wonderful gradients. They truly blend when mixed on paper, giving composite hues, in contrast to so many colored pencils that simply smudge together to give a mix of two separate colors."", ""I found that the color selection allowed me to achieve a full spectrum of colors when blended. The pencils provide smooth, even coverage on a variety of textures and go on with very little pressure, which allowed me to create wonderful gradients. They truly blend when mixed on paper, giving composite hues, in contrast to so many colored pencils that simply smudge together to give a mix of two separate colors.""]}",30,401681,2024-06-05T16:31:51.205251Z,2024-06-05T16:32:02.766808Z,7423.941,OTHER,different
54cfc6a2-1fad-11ef-a36d-35b3d2a66b56,2,5,"{""feature"":""blendability of wooden-colored-pencils"", ""actual_sentence_extracted"":""Hard enough lead to make a lasting mark but still soft enough to be erased without exhorbitant effort."", ""rephrased_it(without experience & observation)"":""The user mentioned that the lead is hard enough to make a lasting mark but still soft enough to be erased without excessive effort."", ""sentiment"":""positive""}",2,0,2.039964914321899,https://amazon.com/dp/B0106K80WS,"I have been using these pencils for marking musical scores for a few years now, after trial and error with different brands and whatever I could find in the local craft and office supply stores.

These are the best, hands down.

Hard enough lead to make a lasting mark but still soft enough to be erased without exhorbitant effort.

Highly recommended!","{'feature': 'blendability of wooden-colored-pencils', 'actual_sentence_extracted': 'Hard enough lead to make a lasting mark but still soft enough to be erased without exhorbitant effort.', 'rephrased_it(without experience & observation)': 'The user mentioned that the lead is hard enough to make a lasting mark but still soft enough to be erased without excessive effort.', 'sentiment': 'positive'}",blendability,The user mentioned that the lead is hard enough to make a lasting mark but still soft enough to be erased without excessive effort.,,The lead is hard enough to make a lasting mark but still soft enough to be erased without excessive effort.,492128,Other,"{""text"": [""The lead is hard enough to make a lasting mark but still soft enough to be erased without excessive effort."", ""The lead is hard enough to make a lasting mark but still soft enough to be erased without excessive effort.""]}",30,401670,2024-06-05T14:53:12.705890Z,2024-06-05T14:53:18.275786Z,1499.479,OTHER,different
c751d678-1fa0-11ef-a36d-35b3d2a66b56,8,5,"{""feature"":""lead hardness of wooden-colored-pencils"", ""actual_sentence_extracted"":""The lead seems to last fairly well. We have used the one pencil several times a week for a couple of weeks and we are still on the firstr pencil we started with."", ""rephrased_it(without experience & observation)"":""The user mentioned that the lead of the pencil seems to last fairly well. They have used the same pencil several times a week for a couple of weeks and they are still on the first pencil they started with."", ""sentiment"":""positive""}",6,0,2.812387466430664,https://amazon.com/dp/B000F8T3LY,"The lead seems to last fairly well.

We have used the one pencil several times a week for a couple of weeks and we are still on the firstr pencil we started with.  

So far, happy with the product.""","{'feature': 'lead hardness of wooden-colored-pencils', 'actual_sentence_extracted': 'The lead seems to last fairly well. We have used the one pencil several times a week for a couple of weeks and we are still on the firstr pencil we started with.', 'rephrased_it(without experience & observation)': 'The user mentioned that the lead of the pencil seems to last fairly well. They have used the same pencil several times a week for a couple of weeks and they are still on the first pencil they started with.', 'sentiment': 'positive'}",lead hardness,The user mentioned that the lead of the pencil seems to last fairly well. They have used the same pencil several times a week for a couple of weeks and they are still on the first pencil they started with.,,The lead of my pencil lasts fairly well. I have used the same pencil several times a week for a couple of weeks and I am still on the first pencil I started with.,492124,Other,"{""text"": [""The lead of my pencil lasts fairly well. I have used the same pencil several times a week for a couple of weeks and I am still on the first pencil I started with."", ""The lead of my pencil lasts fairly well. I have used the same pencil several times a week for a couple of weeks and I am still on the first pencil I started with.""]}",30,401666,2024-06-05T14:52:40.711498Z,2024-06-05T14:52:47.326283Z,1468.525,OTHER,different
01171ee4-0eb9-11ee-92e6-6d304ea26a0e,2,5,"{""feature"":""sharpening ease of wooden-colored-pencils"", ""actual_sentence_extracted"":""I am quite pleased with these."", ""rephrased_it(without experience & observation)"":""The user expressed satisfaction with the wooden-colored-pencils, indicating that they are a great value for the price and provide a good selection of skin tones."", ""sentiment"":""positive""}",2,0,1.913840055465698,https://amazon.com/dp/B07RVD3VKQ,"I bought these for adult coloring, they seem like they will blend well and provide additional colors not in my other set.

After swatch testing and comparing to more expensive pencils, I am quite pleased with these.

They are a great value for the price.

I love that these provide a good selection of skin tones!","{'feature': 'sharpening ease of wooden-colored-pencils', 'actual_sentence_extracted': 'I am quite pleased with these.', 'rephrased_it(without experience & observation)': 'The user expressed satisfaction with the wooden-colored-pencils, indicating that they are a great value for the price and provide a good selection of skin tones.', 'sentiment': 'positive'}",sharpening ease,"The user expressed satisfaction with the wooden-colored-pencils, indicating that they are a great value for the price and provide a good selection of skin tones.",,I am satisfied with the wooden-colored-pencils as they provide a good selection of skin tones and are a great value for the price.,492375,NO,I am satisfied with the wooden-colored-pencils as they provide a good selection of skin tones and are a great value for the price.,30,401976,2024-06-06T05:04:43.096163Z,2024-06-06T05:04:43.096213Z,6.104,OTHER,different
534b1129-8cba-11ed-a7ba-930ee103a0a2,17,5,"""{'feature': 'smoothness of application of wooden-colored-pencils', 'actual_sentence_extracted': 'However, theyre nice and smooth, and are enjoyable to color intricate coloring books with', 'rephrased_it(without experience & observation)': 'The user mentioned that these pencils are nice and smooth and enjoyable to color intricate coloring books with.', 'sentiment': 'positive'}""",3,0,2.266268491744995,https://amazon.com/dp/B00KGC666E,"""  I really enjoy these colored pencils. I use them to supplement the color palette of my Prismacolor Premiers when Im doing commissions to broaden the color range when very specific colors are needed, and for coloring."", ""Theyre absolutely not on par with Prismacolor in terms of blendability, but theyre not advertised to be. However, theyre nice and smooth, and are enjoyable to color intricate coloring books with. They hold a point well, and with the right finesse, can be used with artist quality materials. I love the triangular shape, its much more comfortable to hold and there are no issues with sharpening. The wood has a pleasant smell, and is made from Elm."", ""My only complaint is a few of the colors are stiff and not as pleasant to use, especially the fluorescent ones. Granted, theyre much more pleasant than less expensive brands, but still. If youre after primarily bright/fluorescent tones, look into an artist quality brand. If you want a solid set of pencils that can hold their own with artist quality brands, try these. Id personally like to see more information on lightfastness before using them as a primary medium, but for what they are, theyre great.""","{'feature': 'smoothness of application of wooden-colored-pencils', 'actual_sentence_extracted': 'However, theyre nice and smooth, and are enjoyable to color intricate coloring books with', 'rephrased_it(without experience & observation)': 'The user mentioned that these pencils are nice and smooth and enjoyable to color intricate coloring books with.', 'sentiment': 'positive'}",smoothness of application,The user mentioned that these pencils are nice and smooth and enjoyable to color intricate coloring books with.,,"These pencils are nice, smooth, and enjoyable to color intricate coloring books with.",492374,NO,"These pencils are nice, smooth, and enjoyable to color intricate coloring books with.",30,401977,2024-06-06T05:04:48.764960Z,2024-06-06T05:04:48.765011Z,3.775,OTHER,different
534b1129-8cba-11ed-a7ba-930ee103a0a2,2,3,"{""feature"":""lead hardness of wooden-colored-pencils"", ""actual_sentence_extracted"":""most colors have a nice soft lead but I couldnt get particularly excited about these"", ""rephrased_it(without experience & observation)"":""The user mentioned that most colors have a nice soft lead but he could not get particularly excited about them."", ""sentiment"":""neutral""}",6,0,1.849900007247925,https://amazon.com/dp/B00KGC666E,"""  These really are just ok  The color selection is nice, except the fluorescent colors we should be so excited about are very waxy and difficult to use.  

They blend reasonably well and most colors have a nice soft lead but I couldnt get particularly excited about these.  

The box frustrates me endlessly because I like keeping the pencils in order and they tend to jumble around if Im not extremely careful but the pencils themselves are...ok""","{'feature': 'lead hardness of wooden-colored-pencils', 'actual_sentence_extracted': 'most colors have a nice soft lead but I couldnt get particularly excited about these', 'rephrased_it(without experience & observation)': 'The user mentioned that most colors have a nice soft lead but he could not get particularly excited about them.', 'sentiment': 'neutral'}",lead hardness,The user mentioned that most colors have a nice soft lead but he could not get particularly excited about them.,,"I could not get particularly excited about most colors, but they have a nice soft lead.",492373,NO,"I could not get particularly excited about most colors, but they have a nice soft lead.",30,401978,2024-06-06T05:04:53.436599Z,2024-06-06T05:04:53.436650Z,3.261,OTHER,different
02926187-8cbb-11ed-a7ba-930ee103a0a2,0,5,"{""feature"":""sharpening ease of wooden-colored-pencils"", ""actual_sentence_extracted"":""The only complaint I have with these pencils is the wood casings. They will split if you arent careful when sharpening."", ""rephrased_it(without experience & observation)"":""The user mentioned that the wood casings of the pencils will split if not careful while sharpening."", ""sentiment"":""negative""}",5,0,2.088146448135376,https://amazon.com/dp/B0019IP2GE,"""The only complaint I have with these pencils is the wood casings.

They will split if you arent careful when sharpening.

So be careful sharpening and youll find these are one of the best watercolor pencils youll ever use.

I use them exclusively now for my watercolor work.

They also blend very nicely and the colors are brilliant.

"", ""You cant go wrong with any Prismacolor products.""","{'feature': 'sharpening ease of wooden-colored-pencils', 'actual_sentence_extracted': 'The only complaint I have with these pencils is the wood casings. They will split if you arent careful when sharpening.', 'rephrased_it(without experience & observation)': 'The user mentioned that the wood casings of the pencils will split if not careful while sharpening.', 'sentiment': 'negative'}",sharpening ease,The user mentioned that the wood casings of the pencils will split if not careful while sharpening.,,"If not careful while sharpening, the wood casings of the pencils will split.",492372,NO,"If not careful while sharpening, the wood casings of the pencils will split.",30,401981,2024-06-06T05:04:58.472676Z,2024-06-06T05:04:58.472728Z,3.746,YES,different
02926187-8cbb-11ed-a7ba-930ee103a0a2,0,5,"""{'feature': 'lead hardness of wooden-colored-pencils', 'actual_sentence_extracted': 'I was curious how soft the lead was and how they mixed with water.', 'rephrased_it(without experience & observation)': 'The user was curious about the softness of the lead and how it mixed with water.', 'sentiment': 'neutral'}""",5,0,1.852360486984253,https://amazon.com/dp/B0019IP2GE,"""I own several brands of water soluble pencils and wanted to try these as the price was so reasonable.

I was curious how soft the lead was and how they mixed with water.

I can advise that the color is intense and the pencils apply just as well as Prismacolor Premier colored pencils.

Its a great set to travel with; I dont want to travel with my expensive Faber Castels.

They also sharpen beautifully.

Im very pleased.""","{'feature': 'lead hardness of wooden-colored-pencils', 'actual_sentence_extracted': 'I was curious how soft the lead was and how they mixed with water.', 'rephrased_it(without experience & observation)': 'The user was curious about the softness of the lead and how it mixed with water.', 'sentiment': 'neutral'}",lead hardness,The user was curious about the softness of the lead and how it mixed with water.,,I was curious about the softness of the lead and how it mixed with water.,492371,NO,I was curious about the softness of the lead and how it mixed with water.,30,401982,2024-06-06T05:05:05.209276Z,2024-06-06T05:05:05.209345Z,5.034,OTHER,different
