Pid,is_helpful,rating,Actual Response,Review Number,Cost per review,Time Taken,amazon_page,Review text,Rephrased Snippets,aspect,QA_Content,Accept,Processed_QA_Content,id,accept_choice1,accept1,annotator,annotation_id,created_at,updated_at,lead_time
3ab2b8d3-8cba-11ed-a7ba-930ee103a0a2,2,5,"{
                           ""Thought"" : ""I need to extract experience-rich sentence from user review text based on given specification."",
                           ""Action"" : ""Find[Finding a text sentence from the review based on specification]"",
                           ""Observation"" : ""I could extract one sentence based on specification -- durability of gymnastics-balance-beams-bases. The sentence i extracted is -- 'It is very sturdy unlike the other foldable balance beams.'"",
                           ""Thought"" : ""I have found one sentence. I need to check if it is experience-rich"",
                           ""Action"" : ""Check experience-rich[Checking if the found sentence is experience-rich or not?]"",
                           ""Observation"": ""In the sentence, the user mentioned that the balance beam is very sturdy unlike other foldable balance beams. This has come out of user experience and it also includes the specific information like comparison with other foldable balance beams. Thus, it is an experience rich sentence."",
                           ""Thought"" : ""I have found one experience-rich sentence. I should give final answer with the 1 experience-rich sentence."",
                           ""Final answer"" : [{""feature"":""durability of gymnastics-balance-beams-bases"", ""actual_sentence_extracted"":""It is very sturdy unlike the other foldable balance beams."", ""rephrased_it(without experience & observation)"":""The user mentioned that the balance beam is very sturdy unlike other foldable balance beams."", ""sentiment"":""positive""}]
        }",3,0.002835,4.67304801940918,https://amazon.com/dp/B07D3N486J,"It is very sturdy unlike the other foldable balance beams.

It is foldable for easy storage.

It has 2 handles on each half of the beam!!

My girls love it.

It constantly stays in our hallway and we push it off to the side when not in use.

It’s used daily and my girls have so much fun doing there gymnastics things!","{'feature': 'durability of gymnastics-balance-beams-bases', 'actual_sentence_extracted': 'It is very sturdy unlike the other foldable balance beams.', 'rephrased_it(without experience & observation)': 'The user mentioned that the balance beam is very sturdy unlike other foldable balance beams.', 'sentiment': 'positive'}",durability,The user mentioned that the balance beam is very sturdy unlike other foldable balance beams.,,The balance beam is very sturdy compared to other foldable balance beams.,321091,Other,"{""text"": [""The balance beam is very sturdy compared to other foldable balance beams."", ""The balance beam is very sturdy compared to other foldable balance beams.""]}",48,246599,2024-04-02T06:07:52.926850Z,2024-04-02T06:07:56.375557Z,8843.14
6c7f7c37-8cba-11ed-a7ba-930ee103a0a2,6,3,"{
                           ""Thought"" : ""I need to extract experience-rich sentence from user review text based on given specification."",
                           ""Action"" : ""Find[Finding a text sentence from the review based on specification]"",
                           ""Observation"" : ""I could extract one sentence based on specification -- adjustability of gymnastics-balance-beams-bases. The sentence i extracted is -- 'Its squishy so it makes it harder to get footing and lands are always wobbly bc its not firm enough.'"",
                           ""Thought"" : ""I have found one sentence. I need to check if it is experience-rich"",
                           ""Action"" : ""Check experience-rich[Checking if the found sentence is experience-rich or not?]"",
                           ""Observation"": ""In the sentence, the user mentioned that the beam is squishy and it makes it harder to get footing and lands are always wobbly because it is not firm enough. This has come out of user experience and it also includes the specific information like squishy and wobbly. Thus, it is an experience rich sentence."",
                           ""Thought"" : ""I have found one experience-rich sentence. I should give final answer with the 1 experience-rich sentence."",
                           ""Final answer"" : [{""feature"":""adjustability of gymnastics-balance-beams-bases"", ""actual_sentence_extracted"":""Its squishy so it makes it harder to get footing and lands are always wobbly bc its not firm enough."", ""rephrased_it(without experience & observation)"":""The user mentioned that the beam is squishy and it makes it harder to get footing and lands are always wobbly because it is not firm enough."", ""sentiment"":""negative""}]
        }",1,0.002967,5.244514942169189,https://amazon.com/dp/B019220GKA,"""Its light,  convenient,  good for the price, but not firm enough to really practice higher level beam routines.  

Its squishy

so it makes it harder to get footing and lands are always wobbly bc its not firm enough.  

You sink during cartwheels, dismounts, etc.

OK for warm ups but will be buying different brand for precise practicing with a solid beam.""","{'feature': 'adjustability of gymnastics-balance-beams-bases', 'actual_sentence_extracted': 'Its squishy so it makes it harder to get footing and lands are always wobbly bc its not firm enough.', 'rephrased_it(without experience & observation)': 'The user mentioned that the beam is squishy and it makes it harder to get footing and lands are always wobbly because it is not firm enough.', 'sentiment': 'negative'}",adjustability,The user mentioned that the beam is squishy and it makes it harder to get footing and lands are always wobbly because it is not firm enough.,,I find it difficult to get footing and my landings are always wobbly because the beam is squishy and not firm enough.,320844,Other,"{""text"": [""I find it difficult to get footing and my landings are always wobbly because the beam is squishy and not firm enough."", ""I find it difficult to get footing and my landings are always wobbly because the beam is squishy and not firm enough.""]}",48,245529,2024-04-01T12:39:19.991555Z,2024-04-01T12:39:24.269147Z,26408.025
1052d648-b3e4-11ee-92e6-6d304ea26a0e,7,3,"{
                           ""Thought"" : ""I need to extract experience-rich sentence from user review text based on given specification."",
                           ""Action"" : ""Find[Finding a text sentence from the review based on specification]"",
                           ""Observation"" : ""I could extract one sentence based on specification -- adjustability of gymnastics-balance-beams-bases. The sentence i extracted is -- 'And there is only one set of flat feet bases.'"",
                           ""Thought"" : ""I have found one sentence. I need to check if it is experience-rich"",
                           ""Action"" : ""Check experience-rich[Checking if the found sentence is experience-rich or not?]"",
                           ""Observation"": ""In the sentence, the user mentioned that there is only one set of flat feet bases. This has come out of user experience and it also includes the specific information like only one set of flat feet bases. Thus, it is an experience rich sentence."",
                           ""Thought"" : ""I have found one experience-rich sentence. I should give final answer with the 1 experience-rich sentence."",
                           ""Final answer"" : [{""feature"":""adjustability of gymnastics-balance-beams-bases"", ""actual_sentence_extracted"":""And there is only one set of flat feet bases."", ""rephrased_it(without experience & observation)"":""The user mentioned that there is only one set of flat feet bases."", ""sentiment"":""neutral""}]
        }",2,0.0028375,4.898504018783569,https://amazon.com/dp/B0CNDGB5XS,"I am a long time gymnastics coach.

This set up was way to challenging.

And there is only one set of flat feet bases.

The images are a little deceiving, you have choose flat base or flat base with adjustable legs.

, The beam is also a little too squishy.

So, gymnasts feel their hands and feet slide too much.

However; it would be great for preschoolers.","{'feature': 'adjustability of gymnastics-balance-beams-bases', 'actual_sentence_extracted': 'And there is only one set of flat feet bases.', 'rephrased_it(without experience & observation)': 'The user mentioned that there is only one set of flat feet bases.', 'sentiment': 'neutral'}",adjustability,The user mentioned that there is only one set of flat feet bases.,,There is only one set of flat feet bases.,320815,NO,"{""text"": [""There is only one set of flat feet bases."", ""There is only one set of flat feet bases.""]}",48,245445,2024-04-01T12:21:38.803499Z,2024-04-01T12:21:58.565625Z,25362.286
3ab2b8d1-8cba-11ed-a7ba-930ee103a0a2,3,1,"{
                           ""Thought"" : ""I need to extract experience-rich sentence from user review text based on given specification list."",
                           ""Action"" : ""Find[Finding a text sentence from the review based on specification list]"",
                           ""Observation"" : ""I could extract one sentence based on specification -- portability of gymnastics-balance-beams-bases. The sentence i extracted is -- 'Furthermore, the plastic bottoms do not have grips so the beam will slide on wood floors'"",
                           ""Thought"" : ""I have found one snipet. I need to check if it is experience-rich"",
                           ""Action"" : ""Check experience-rich[Checking if the found sentence is experience-rich or not?]"",
                           ""Observation"": ""The user has mentioned that the plastic bottoms do not have grips so the beam will slide on wood floors. From this statement, it seems that the user has used the product and has faced this problem personally. Thus, it can be said that user has commeted that based on his experience. So, it is experience-rich sentence. This review expresses the negative feedback from customer with respect to feature: portability of gymnastics-balance-beams-bases."",
                           ""Thought"" : ""I have found one experience-rich sentence. Total of 1 experience-rich sentence found till now. Before giving final answer, let me check if i can find more such sentences."",
                           ""Action"" : ""Find[Finding a unique text sentence, a different one, but based on specification list]"",
                           ""Observation"" : ""I could not find any other sentence related to given specification list"",
                           ""Thought"" : ""Since, no new sentence found, i should give final answer with the previous 1 experience-rich sentences."",
                           ""Final answer"" : [{""feature"":""portability of gymnastics-balance-beams-bases"", ""actual_sentence_extracted"": ""Furthermore, the plastic bottoms do not have grips so the beam will slide on wood floors"",""rephrased_it(without experience & observation)"":""The reviewer has mentioned that the plastic bottoms of the balance beam do not have grips, which makes it slide on wood floors."", ""sentiment"":""negative""}]
        }",3,0.0048449999999999,5.512657403945923,https://amazon.com/dp/B006FF8YWA,"My first issue with this product was that the photos lead you to believe you are ordering a regular size balance beam. Upon arrival I noticed a short box but thought nothing of it. I figured the box contained two pieces that connected to form a full beam. Unfortunately, when my niece opened her gift the box only contained one 4 foot piece. I was scratching my head. Minutes later I fired up the amazon app and bought another to complete the full 8’ beam. The second package arrived 2 days later. My niece was excited. I wasn’t thrilled because the first 4 footer had a blue bottom and the second one arrived with a purple bottom. This wasn’t a huge deal but I was annoyed because no color options were provided. We put the pieces together. Each piece fits together with a Velcro flap. I got over the color mismatch but I was annoyed because the two pieces didn’t fit together seamlessly. It had a gap. I think this is due to low quality control. Amazon exchanged one half to hopefully remove the unsafe middle gap. It’s a balance beam and a gap in the middle is an injury waiting to happen. Furthermore, the plastic bottoms do not have grips so the beam will slide on wood floors. In short, the product is crap. I should have known better because if you look closely at the beams in the stock photos look like junk.","{'feature': 'portability of gymnastics-balance-beams-bases', 'actual_sentence_extracted': 'Furthermore, the plastic bottoms do not have grips so the beam will slide on wood floors', 'rephrased_it(without experience & observation)': 'The reviewer has mentioned that the plastic bottoms of the balance beam do not have grips, which makes it slide on wood floors.', 'sentiment': 'negative'}",portability,"The reviewer has mentioned that the plastic bottoms of the balance beam do not have grips, which makes it slide on wood floors.",,"I noticed that the plastic bottoms of the balance beam do not have grips, which makes it slide on wood floors. 

 
The plastic bottoms of the balance beam do not have grips, which makes it slide on wood floors.",320807,Other,"{""text"": [""I noticed that the plastic bottoms of the balance beam do not have grips, which makes it slide on wood floors. \n\n \nThe plastic bottoms of the balance beam do not have grips, which makes it slide on wood floors."", ""I noticed that the plastic bottoms of the balance beam do not have grips, which makes it slide on wood floors. \n\n \nThe plastic bottoms of the balance beam do not have grips, which makes it slide on wood floors.""]}",48,244061,2024-04-01T10:52:12.522559Z,2024-04-01T10:52:19.640168Z,19983.235
2a2d7034-b3ec-11ee-92e6-6d304ea26a0e,5,5,"{
                           ""Thought"" : ""I need to extract experience-rich sentence from user review text based on given specification."",
                           ""Action"" : ""Find[Finding a text sentence from the review based on specification]"",
                           ""Observation"" : ""I could extract one sentence based on specification -- stability of gymnastics-balance-beams-bases. The sentence i extracted is -- 'The build is strong and very light to carry around.'"",
                           ""Thought"" : ""I have found one sentence. I need to check if it is experience-rich"",
                           ""Action"" : ""Check experience-rich[Checking if the found sentence is experience-rich or not?]"",
                           ""Observation"": ""In the sentence, the user mentioned that the build is strong and light to carry around. This has come out of user experience and it also includes the specific information like build quality. Thus, it is an experience rich sentence."",
                           ""Thought"" : ""I have found one experience-rich sentence. I should give final answer with the 1 experience-rich sentence."",
                           ""Final answer"" : [{""feature"":""stability of gymnastics-balance-beams-bases"", ""actual_sentence_extracted"":""The build is strong and very light to carry around."", ""rephrased_it(without experience & observation)"":""The user mentioned that the build is strong and light to carry around."", ""sentiment"":""positive""}]
        }",2,0.002821,4.393999814987183,https://amazon.com/dp/B09SFG8ZBQ,"The media could not be loaded.                

, 'xa0My toddlers love this balance beam, not only do they love the color but they also love how they can cross it unassisted.

It helps him focus and work on their balance and coordination.

The build is strong and very light to carry around.

We are excited that we can purchase more and hook them together to make a longer balance beam!","{'feature': 'stability of gymnastics-balance-beams-bases', 'actual_sentence_extracted': 'The build is strong and very light to carry around.', 'rephrased_it(without experience & observation)': 'The user mentioned that the build is strong and light to carry around.', 'sentiment': 'positive'}",stability,The user mentioned that the build is strong and light to carry around.,,The build is strong and light to carry around.,321222,YES,The build is strong and light to carry around.,48,247459,2024-04-02T06:53:16.796113Z,2024-04-02T06:53:16.796177Z,3.712
2a2d7034-b3ec-11ee-92e6-6d304ea26a0e,2,5,"{
                           ""Thought"" : ""I need to extract experience-rich sentence from user review text based on given specification."",
                           ""Action"" : ""Find[Finding a text sentence from the review based on specification]"",
                           ""Observation"" : ""I could extract one sentence based on specification -- portability of gymnastics-balance-beams-bases. The sentence i extracted is -- 'It’s made thick and durable and is lightweight enough for us to take it with us when we go places that she’s going to need it.'"",
                           ""Thought"" : ""I have found one sentence. I need to check if it is experience-rich"",
                           ""Action"" : ""Check experience-rich[Checking if the found sentence is experience-rich or not?]"",
                           ""Observation"": ""In the sentence, the user mentioned that the gymnastics balance beam base is lightweight and durable enough to carry it with them when they go places. This has come out of user experience and it also includes the specific information like portability. Thus, it is an experience rich sentence."",
                           ""Thought"" : ""I have found one experience-rich sentence. I should give final answer with the 1 experience-rich sentence."",
                           ""Final answer"" : [{""feature"":""portability of gymnastics-balance-beams-bases"", ""actual_sentence_extracted"":""It’s made thick and durable and is lightweight enough for us to take it with us when we go places that she’s going to need it."", ""rephrased_it(without experience & observation)"":""The user mentioned that the gymnastics balance beam base is lightweight and durable enough to carry it with them when they go places."", ""sentiment"":""positive""}]
        }",6,0.0029105,3.886406898498535,https://amazon.com/dp/B09SFG8ZBQ,"This has helped my granddaughter with her gymnastics so much.

It’s made thick and durable and is lightweight enough for us to take it with us when we go places that she’s going to need it.

This a must have for anyone who needs to learn to balance themselves.

Great value for the money","{'feature': 'portability of gymnastics-balance-beams-bases', 'actual_sentence_extracted': 'It’s made thick and durable and is lightweight enough for us to take it with us when we go places that she’s going to need it.', 'rephrased_it(without experience & observation)': 'The user mentioned that the gymnastics balance beam base is lightweight and durable enough to carry it with them when they go places.', 'sentiment': 'positive'}",portability,The user mentioned that the gymnastics balance beam base is lightweight and durable enough to carry it with them when they go places.,,"The gymnastics balance beam base is lightweight and durable, so I can carry it with me wherever I go.",321221,YES,"The gymnastics balance beam base is lightweight and durable, so I can carry it with me wherever I go.",48,247462,2024-04-02T06:53:22.232428Z,2024-04-02T06:53:22.232475Z,3.983
2a2d7034-b3ec-11ee-92e6-6d304ea26a0e,5,5,"{
                           ""Thought"" : ""I need to extract experience-rich sentence from user review text based on given specification."",
                           ""Action"" : ""Find[Finding a text sentence from the review based on specification]"",
                           ""Observation"" : ""I could extract one sentence based on specification -- portability of gymnastics-balance-beams-bases. The sentence i extracted is -- 'The build is strong and very light to carry around.'"",
                           ""Thought"" : ""I have found one sentence. I need to check if it is experience-rich"",
                           ""Action"" : ""Check experience-rich[Checking if the found sentence is experience-rich or not?]"",
                           ""Observation"": ""In the sentence, the user mentioned that the build is strong and very light to carry around. This has come out of user experience and it also includes the specific information like the product is light to carry around. Thus, it is an experience rich sentence."",
                           ""Thought"" : ""I have found one experience-rich sentence. I should give final answer with the 1 experience-rich sentence."",
                           ""Final answer"" : [{""feature"":""portability of gymnastics-balance-beams-bases"", ""actual_sentence_extracted"":""The build is strong and very light to carry around."", ""rephrased_it(without experience & observation)"":""The user mentioned that the product is strong and light to carry around."", ""sentiment"":""positive""}]
        }",5,0.0028365,3.820713758468628,https://amazon.com/dp/B09SFG8ZBQ,"The media could not be loaded.                

, 'xa0My toddlers love this balance beam, not only do they love the color but they also love how they can cross it unassisted.

It helps him focus and work on their balance and coordination.

The build is strong and very light to carry around.

We are excited that we can purchase more and hook them together to make a longer balance beam!","{'feature': 'portability of gymnastics-balance-beams-bases', 'actual_sentence_extracted': 'The build is strong and very light to carry around.', 'rephrased_it(without experience & observation)': 'The user mentioned that the product is strong and light to carry around.', 'sentiment': 'positive'}",portability,The user mentioned that the product is strong and light to carry around.,,The product is strong and light to carry around.,321220,YES,The product is strong and light to carry around.,48,247464,2024-04-02T06:53:26.772304Z,2024-04-02T06:53:26.772358Z,3.458
2a2d7034-b3ec-11ee-92e6-6d304ea26a0e,0,2,"{
                           ""Thought"" : ""I need to extract experience-rich sentence from user review text based on given specification."",
                           ""Action"" : ""Find[Finding a text sentence from the review based on specification]"",
                           ""Observation"" : ""I could extract one sentence based on specification -- portability of gymnastics-balance-beams-bases. The sentence i extracted is -- 'Easily a 5* product, however, portable these are not.'"",
                           ""Thought"" : ""I have found one sentence. I need to check if it is experience-rich"",
                           ""Action"" : ""Check experience-rich[Checking if the found sentence is experience-rich or not?]"",
                           ""Observation"": ""In the sentence, the user mentioned that the product is not portable. This has come out of user experience and it is also specific to the product. Thus, it is an experience rich sentence."",
                           ""Thought"" : ""I have found one experience-rich sentence. I should give final answer with the 1 experience-rich sentence."",
                           ""Final answer"" : [{""feature"":""portability of gymnastics-balance-beams-bases"", ""actual_sentence_extracted"":""Easily a 5* product, however, portable these are not."", ""rephrased_it(without experience & observation)"":""The user mentioned that the product is not portable."", ""sentiment"":""positive""}]
        }",2,0.002822,5.166194200515747,https://amazon.com/dp/B09SFG8ZBQ,"Easily a 5* product, however, portable these are not., ""We purchased these for our Ninja Warrior youth program, and after about 5 times moving them, the stitching is busted and loose.

Very bad design.

The product is solid, we have 200lb students that run.

Across these and they hold up just fine.

But they cant be used properly now because they dont stick down anymore.""","{'feature': 'portability of gymnastics-balance-beams-bases', 'actual_sentence_extracted': 'Easily a 5* product, however, portable these are not.', 'rephrased_it(without experience & observation)': 'The user mentioned that the product is not portable.', 'sentiment': 'positive'}",portability,The user mentioned that the product is not portable.,,The product is not portable.,321219,NO,The product is not portable.,48,247465,2024-04-02T06:53:31.002116Z,2024-04-02T06:53:31.002169Z,2.929
2a2d7034-b3ec-11ee-92e6-6d304ea26a0e,5,5,"{
                           ""Thought"" : ""I need to extract experience-rich sentence from user review text based on given specification."",
                           ""Action"" : ""Find[Finding a text sentence from the review based on specification]"",
                           ""Observation"" : ""I could extract one sentence based on specification -- grip of gymnastics-balance-beams-bases. The sentence i extracted is -- 'not only do they love the color but they also love how they can cross it unassisted'."",
                           ""Thought"" : ""I have found one sentence. I need to check if it is experience-rich"",
                           ""Action"" : ""Check experience-rich[Checking if the found sentence is experience-rich or not?]"",
                           ""Observation"": ""In the sentence, the user mentioned that toddlers love the balance beam and they can cross it unassisted. This has come out of user experience and it also includes the specific information like toddlers and unassisted. Thus, it is an experience rich sentence."",
                           ""Thought"" : ""I have found one experience-rich sentence. I should give final answer with the 1 experience-rich sentence."",
                           ""Final answer"" : [{""feature"":""grip of gymnastics-balance-beams-bases"", ""actual_sentence_extracted"":""not only do they love the color but they also love how they can cross it unassisted."", ""rephrased_it(without experience & observation)"":""The user mentioned that toddlers love the balance beam and they can cross it unassisted."", ""sentiment"":""positive""}]
        }",7,0.002879,3.598168134689331,https://amazon.com/dp/B09SFG8ZBQ,"The media could not be loaded.                

, 'xa0My toddlers love this balance beam, not only do they love the color but they also love how they can cross it unassisted.

It helps him focus and work on their balance and coordination.

The build is strong and very light to carry around.

We are excited that we can purchase more and hook them together to make a longer balance beam!","{'feature': 'grip of gymnastics-balance-beams-bases', 'actual_sentence_extracted': 'not only do they love the color but they also love how they can cross it unassisted.', 'rephrased_it(without experience & observation)': 'The user mentioned that toddlers love the balance beam and they can cross it unassisted.', 'sentiment': 'positive'}",grip,The user mentioned that toddlers love the balance beam and they can cross it unassisted.,,Toddlers love the balance beam and can cross it unassisted.,321218,YES,Toddlers love the balance beam and can cross it unassisted.,48,247467,2024-04-02T06:53:37.452220Z,2024-04-02T06:53:37.452270Z,5.066
2a2d7034-b3ec-11ee-92e6-6d304ea26a0e,5,5,"{
                           ""Thought"" : ""I need to extract experience-rich sentence from user review text based on given specification."",
                           ""Action"" : ""Find[Finding a text sentence from the review based on specification]"",
                           ""Observation"" : ""I could extract one sentence based on specification -- durability of gymnastics-balance-beams-bases. The sentence i extracted is -- 'The build is strong and very light to carry around.'"",
                           ""Thought"" : ""I have found one sentence. I need to check if it is experience-rich"",
                           ""Action"" : ""Check experience-rich[Checking if the found sentence is experience-rich or not?]"",
                           ""Observation"": ""In the sentence, the user mentioned that the build is strong and very light to carry around. This has come out of user experience and it also includes the specific information like build is strong. Thus, it is an experience rich sentence."",
                           ""Thought"" : ""I have found one experience-rich sentence. I should give final answer with the 1 experience-rich sentence."",
                           ""Final answer"" : [{""feature"":""durability of gymnastics-balance-beams-bases"", ""actual_sentence_extracted"":""The build is strong and very light to carry around."", ""rephrased_it(without experience & observation)"":""The user mentioned that the build is strong and it is very light to carry around."", ""sentiment"":""positive""}]
        }",4,0.002831,3.896067142486572,https://amazon.com/dp/B09SFG8ZBQ,"The media could not be loaded.                

, 'xa0My toddlers love this balance beam, not only do they love the color but they also love how they can cross it unassisted.

It helps him focus and work on their balance and coordination.

The build is strong and very light to carry around.

We are excited that we can purchase more and hook them together to make a longer balance beam!","{'feature': 'durability of gymnastics-balance-beams-bases', 'actual_sentence_extracted': 'The build is strong and very light to carry around.', 'rephrased_it(without experience & observation)': 'The user mentioned that the build is strong and it is very light to carry around.', 'sentiment': 'positive'}",durability,The user mentioned that the build is strong and it is very light to carry around.,,The build is strong and it's very light to carry around.,321217,Other,The build is strong and it's very light to carry around.,48,247470,2024-04-02T06:53:46.386869Z,2024-04-02T06:53:46.386923Z,7.661
